"","giorni_settimana"
"1","dom"
"2","lun"
"3","mar"
"4","merc"
"5","giov"
"6","ven"
"7","sab"
"8","dom"
"9","lun"
"10","mar"
"11","merc"
"12","giov"
"13","ven"
"14","sab"
"15","dom"
"16","lun"
"17","mar"
"18","merc"
"19","giov"
"20","ven"
"21","sab"
"22","dom"
"23","lun"
"24","mar"
"25","merc"
"26","giov"
"27","ven"
"28","sab"
"29","dom"
"30","lun"
"31","mar"
"32","merc"
"33","giov"
"34","ven"
"35","sab"
"36","dom"
"37","lun"
"38","mar"
"39","merc"
"40","giov"
"41","ven"
"42","sab"
"43","dom"
"44","lun"
"45","mar"
"46","merc"
"47","giov"
"48","ven"
"49","sab"
"50","dom"
"51","lun"
"52","mar"
"53","merc"
"54","giov"
"55","ven"
"56","sab"
"57","dom"
"58","lun"
"59","mar"
"60","giov"
"61","dom"
"62","lun"
"63","mar"
"64","merc"
"65","giov"
"66","ven"
"67","sab"
"68","dom"
"69","lun"
"70","mar"
"71","merc"
"72","giov"
"73","ven"
"74","sab"
"75","dom"
"76","lun"
"77","mar"
"78","merc"
"79","giov"
"80","ven"
"81","sab"
"82","dom"
"83","lun"
"84","mar"
"85","merc"
"86","giov"
"87","ven"
"88","sab"
"89","dom"
"90","lun"
"91","mar"
"92","merc"
"93","giov"
"94","ven"
"95","sab"
"96","dom"
"97","lun"
"98","mar"
"99","merc"
"100","giov"
"101","ven"
"102","sab"
"103","dom"
"104","lun"
"105","mar"
"106","merc"
"107","giov"
"108","ven"
"109","sab"
"110","dom"
"111","lun"
"112","mar"
"113","merc"
"114","giov"
"115","ven"
"116","sab"
"117","dom"
"118","lun"
"119","mar"
"120","merc"
"121","giov"
"122","ven"
"123","sab"
"124","dom"
"125","lun"
"126","mar"
"127","merc"
"128","giov"
"129","ven"
"130","sab"
"131","dom"
"132","lun"
"133","mar"
"134","merc"
"135","giov"
"136","ven"
"137","sab"
"138","dom"
"139","lun"
"140","mar"
"141","merc"
"142","giov"
"143","ven"
"144","sab"
"145","dom"
"146","lun"
"147","mar"
"148","merc"
"149","giov"
"150","ven"
"151","sab"
"152","dom"
"153","lun"
"154","mar"
"155","merc"
"156","giov"
"157","ven"
"158","sab"
"159","dom"
"160","lun"
"161","mar"
"162","merc"
"163","giov"
"164","ven"
"165","sab"
"166","dom"
"167","lun"
"168","mar"
"169","merc"
"170","giov"
"171","ven"
"172","sab"
"173","dom"
"174","lun"
"175","mar"
"176","merc"
"177","giov"
"178","ven"
"179","sab"
"180","dom"
"181","lun"
"182","mar"
"183","merc"
"184","giov"
"185","ven"
"186","sab"
"187","dom"
"188","lun"
"189","mar"
"190","merc"
"191","giov"
"192","ven"
"193","sab"
"194","dom"
"195","lun"
"196","mar"
"197","merc"
"198","giov"
"199","ven"
"200","sab"
"201","dom"
"202","lun"
"203","mar"
"204","merc"
"205","giov"
"206","ven"
"207","sab"
"208","dom"
"209","lun"
"210","mar"
"211","merc"
"212","giov"
"213","ven"
"214","sab"
"215","dom"
"216","lun"
"217","mar"
"218","merc"
"219","giov"
"220","ven"
"221","sab"
"222","dom"
"223","lun"
"224","mar"
"225","merc"
"226","giov"
"227","ven"
"228","sab"
