"","tot.Prezzo","tot.Consumi","tot.Gradi","tot.Consumiperc","tot.Prezzoperc","dummy_ts_ita.BankHoliday","dummy_ts_ita.EndYear","dummy_ts_ita.AugustBorder","dummy_ts_ita.AugustCenter","dummy_ts_ita.DayOfWeek","dummy_ts_ita.DayOff"
"1",82.81,24659.16,-1,0,0,0,0,0,0,1,0
"2",75.77,23387.59,0,-5.15658278708601,-8.50138872116895,0,0,0,0,1,0
"3",59.92,22090.76,-1,-5.54494926582859,-20.9185693546258,0,0,0,0,1,0
"4",59.92,21009.12,-1,-4.89634580249842,0,0,0,0,0,1,0
"5",59.01,20350.99,-1,-3.1325919410237,-1.51869158878505,0,0,0,0,1,0
"6",58.5,20442.18,-2,0.448086309314676,-0.864260294865274,0,0,0,0,1,0
"7",58.54,20910.78,-2,2.29231911664998,0.0683760683760669,0,0,0,0,1,0
"8",61.1,21393.44,-1,2.30818745163978,4.37307823710284,0,0,0,0,1,0
"9",57.84,21909.23,-1,2.41097270939129,-5.3355155482815,0,0,0,0,1,0
"10",62.27,23720.85,2,8.26875248468339,7.65905947441217,0,0,0,0,1,0
"11",62.91,25230.94,5,6.36608721862834,1.02778223863818,0,0,0,0,1,0
"12",65.89,26333.19,6,4.36864421222515,4.73692576696869,0,0,0,0,1,0
"13",66.06,26642.62,6,1.17505702879142,0.25800576718774,0,0,0,0,1,0
"14",57.31,25266.24,7,-5.16608351581037,-13.2455343627006,0,0,0,0,1,0
"15",62.21,24575.04,7,-2.73566624871766,8.5499912755191,0,0,0,0,1,0
"16",66.97,24702.84,7,0.520039845306454,7.65150297379842,0,0,0,0,1,0
"17",79.56,25930.33,5,4.96902380455041,18.7994624458713,0,0,0,0,1,0
"18",90.51,29472.57,5,13.6606051677707,13.763197586727,0,0,0,0,1,0
"19",103.83,30620.84,3,3.89606335653796,14.7166058999006,0,0,0,0,1,0
"20",105.63,31249.72,4,2.05376469097517,1.73360300491187,0,0,0,0,1,0
"21",104.51,30952.85,5,-0.949992511932915,-1.06030483764081,0,0,0,0,1,0
"22",94.41,29779.51,5,-3.79073332504115,-9.66414697158167,0,0,0,0,1,0
"23",89.64,27918.54,5,-6.24916259535499,-5.05243088655862,0,0,0,0,1,0
"24",80.17,25555.08,5,-8.46555729633426,-10.5644801427934,0,0,0,0,1,0
"25",58.2,22714.2,5,-11.1166938236938,-27.4042659348884,0,1,0,0,0,0
"26",49.45,21101.37,5,-7.10053622843861,-15.0343642611684,0,1,0,0,0,0
"27",54.5,20317.66,5,-3.71402425529716,10.2123356926188,0,1,0,0,0,0
"28",54.13,20083.62,5,-1.15190430394052,-0.678899082568803,0,1,0,0,0,0
"29",57,20365.17,5,1.40188870333137,5.30205061888047,0,1,0,0,0,0
"30",57,21966.95,5,7.86529157379979,0,0,1,0,0,0,0
"31",72,25981.58,5,18.2757733777334,26.3157894736842,0,1,0,0,0,0
"32",77.81,31193.08,5,20.0584414034866,8.06944444444445,0,1,0,0,0,0
"33",90.06,34993.02,5,12.181996776208,15.7434777020948,0,1,0,0,0,0
"34",90.91,36817.32,5,5.2133254003227,0.943815234288246,0,1,0,0,0,0
"35",87.94,36933.84,4,0.316481482085053,-3.2669673303267,0,1,0,0,0,0
"36",86.4,36801.7,4,-0.357774875290518,-1.75119399590629,0,1,0,0,0,0
"37",80.39,35307.33,4,-4.06060046139172,-6.95601851851852,0,1,0,0,0,0
"38",79.18,34603.16,4,-1.99440172904606,-1.50516233362358,0,1,0,0,0,0
"39",82.64,35357.21,4,2.17913624073638,4.36979035109875,0,1,0,0,0,0
"40",84.93,35962.83,4,1.71286139375817,2.77105517909004,0,1,0,0,0,0
"41",94.71,37536.01,4,4.3744610755049,11.515365595196,0,1,0,0,0,0
"42",110.4,40736.02,4,8.52517356000277,16.5663604687995,0,1,0,0,0,0
"43",113.41,41095.88,4,0.883395088670912,2.72644927536231,0,1,0,0,0,0
"44",105.15,40177.41,4,-2.23494423285252,-7.28330835023366,0,1,0,0,0,0
"45",92.57,37962.54,3,-5.51272468782832,-11.9638611507371,0,1,0,0,0,0
"46",97.85,35296.2,3,-7.02360800936925,5.70379172518095,0,1,0,0,0,0
"47",83.45,31583.44,4,-10.5188660535695,-14.7164026571282,0,1,0,0,0,0
"48",73.47,28090.25,3,-11.0601948362813,-11.9592570401438,0,1,0,0,0,0
"49",63.2,25040.74,3,-10.8561155561093,-13.9784946236559,0,1,0,0,0,0
"50",54.84,23274.23,3,-7.05454391523574,-13.2278481012658,0,1,0,0,0,0
"51",54.83,22422.83,2,-3.65812316884382,-0.0182348650620079,0,1,0,0,0,0
"52",54.52,22158.03,1,-1.18093924807887,-0.565383913915731,0,1,0,0,0,0
"53",59,22335.69,1,0.801786079358137,8.2171680117388,0,1,0,0,0,0
"54",59,23705.18,2,6.1313977763839,0,0,1,0,0,0,0
"55",72.02,27310.44,2,15.2087434054498,22.0677966101695,0,1,0,0,0,0
"56",81.54,32828.72,2,20.2057528183361,13.2185504026659,0,1,0,0,0,0
"57",91.33,36482.96,1,11.1312289970489,12.0063772381653,0,1,0,0,0,0
"58",93.21,38477.48,1,5.46699061698942,2.05846928720026,0,1,0,0,0,0
