"","x","values"
"1",19570.3662403702,2015-01-01
"2",18969.3937794723,2015-01-02
"3",18854.2786371544,2015-01-03
"4",19095.8198240717,2015-01-04
"5",20142.9410352321,2015-01-05
"6",21226.5473689223,2015-01-06
"7",21837.195252707,2015-01-07
"8",21760.0718902094,2015-01-08
"9",21527.1190317434,2015-01-09
"10",21467.7918544418,2015-01-10
"11",22035.432574278,2015-01-11
"12",23236.0013238788,2015-01-12
"13",24510.855644647,2015-01-13
"14",25018.7111558589,2015-01-14
"15",24654.8884344502,2015-01-15
"16",23927.2559748065,2015-01-16
"17",23462.9348570755,2015-01-17
"18",23655.0353886815,2015-01-18
"19",24459.8334708959,2015-01-19
"20",25264.7956082134,2015-01-20
"21",25365.945466341,2015-01-21
"22",24677.6916411561,2015-01-22
"23",23735.0897530652,2015-01-23
"24",23142.0347123875,2015-01-24
"25",23232.9100063856,2015-01-25
"26",23915.5447758496,2015-01-26
"27",24664.1182516116,2015-01-27
"28",24865.3643936731,2015-01-28
"29",24389.1325293913,2015-01-29
"30",23670.2501607306,2015-01-30
"31",23270.5836819263,2015-01-31
"32",23504.8240602077,2015-02-01
"33",24282.8440325951,2015-02-02
"34",25108.0496917055,2015-02-03
"35",25382.8179590494,2015-02-04
"36",24948.676588642,2015-02-05
"37",24223.1811589216,2015-02-06
"38",23773.6866341965,2015-02-07
"39",23908.565329932,2015-02-08
"40",24528.9780736393,2015-02-09
"41",25165.157132937,2015-02-10
"42",25278.047762618,2015-02-11
"43",24743.9925311053,2015-02-12
"44",23965.2671002421,2015-02-13
"45",23469.9289754772,2015-02-14
"46",23534.5804466112,2015-02-15
"47",24063.8928717007,2015-02-16
"48",24640.0615895978,2015-02-17
"49",24785.0891061951,2015-02-18
"50",24373.7674799191,2015-02-19
"51",23747.1210344164,2015-02-20
"52",23377.9776845529,2015-02-21
"53",23523.2000947218,2015-02-22
"54",24096.7026226955,2015-02-23
"55",24707.0205797772,2015-02-24
"56",24897.6694804569,2015-02-25
"57",24536.7863218368,2015-02-26
"58",23939.0879587142,2015-02-27
"59",23555.8587014037,2015-02-28
"60",23634.0419639401,2015-03-01
"61",24091.2571368247,2015-03-02
"62",24563.4314829492,2015-03-03
"63",24641.0256873998,2015-03-04
"64",24220.6688272662,2015-03-05
"65",23600.5986923019,2015-03-06
"66",23195.2725179026,2015-03-07
"67",23229.9490777639,2015-03-08
"68",23631.966064612,2015-03-09
"69",24078.3939642237,2015-03-10
"70",24204.2147328339,2015-03-11
"71",23906.5645946956,2015-03-12
"72",23437.503296057,2015-03-13
"73",23166.5038980354,2015-03-14
"74",23303.3648164615,2015-03-15
"75",23782.8417966596,2015-03-16
"76",24296.9743918992,2015-03-17
"77",24487.8296354463,2015-03-18
"78",24241.8856406889,2015-03-19
"79",23791.0653673019,2015-03-20
"80",23489.9592904782,2015-03-21
"81",23541.0693477621,2015-03-22
"82",23879.0665185245,2015-03-23
"83",24212.4392991623,2015-03-24
"84",24220.4571642496,2015-03-25
"85",23822.982006437,2015-03-26
"86",23251.3386341506,2015-03-27
"87",22833.3280847355,2015-03-28
"88",22750.243944199,2015-03-29
"89",22945.406689143,2015-03-30
"90",23172.4471802995,2015-03-31
