,TSTOT.PrezzoScandi,TSTOT.ConsumiScandi,TSTOT.GradiScandi,TSTOT.ConsumipercScandi,TSTOT.PrezzopercScandi,TSTOT.BankHolidayScandi,TSTOT.EndYearScandi,TSTOT.DayOfWeekScandi,TSTOT.DayOffScandi,lunedi,martedi,mercoledi,giovedi,venerdi,sabato,domenica
0,34.95,38729.8,2.0,-1.7478969425756201,-1.9910263600672902,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,34.95,42813.8,4.0,-2.3354380714272596,-1.9910263600672902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,33.06,42409.1,4.0,-2.35067925397191,-1.60714285714285,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,33.3,43227.3,3.0,-2.19957239335286,-1.39176784127926,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,34.0,44093.8,-1.0,-2.76465075252218,-3.3541785105173396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,35.32,44582.5,-2.0,-3.0307182676141204,-4.720798489344481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,34.74,43933.8,-6.0,-3.2194962914663,-3.3657858136300405,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,38.55,45141.6,-3.0,-1.4160297008080398,-3.79336161716996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,49.91,48003.1,-6.0,-0.14311895306822303,-16.2302786169856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,39.57,46491.2,0.0,-2.96786689263084,-19.1128372853639,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,35.86,45454.6,1.0,-2.58023725580548,-8.98477157360406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,34.78,44806.0,0.0,-3.01647633312842,-2.54973381899691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,33.7,43370.9,-3.0,-3.17136771791013,-2.43196294151707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,35.18,44265.8,-2.0,-2.5990714458600097,-4.58367236235421,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,36.33,44528.1,-4.0,-2.3105966701257,-5.56277618923837,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,39.97,46514.4,1.0,-2.29524587719058,-11.8632855567806,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
