Giorno,Mese,Anno,GradoFix,OraFix5
1,1,2013,9,01:00:00
1,1,2013,8,02:00:00
1,1,2013,7,03:00:00
1,1,2013,7,04:00:00
1,1,2013,6,05:00:00
1,1,2013,5,06:00:00
1,1,2013,4,07:00:00
1,1,2013,4,08:00:00
1,1,2013,3,09:00:00
1,1,2013,5,10:00:00
1,1,2013,6,11:00:00
1,1,2013,7,12:00:00
1,1,2013,7,13:00:00
1,1,2013,7,14:00:00
1,1,2013,7,15:00:00
1,1,2013,6,16:00:00
1,1,2013,6,17:00:00
1,1,2013,5,18:00:00
1,1,2013,6,19:00:00
1,1,2013,5,20:00:00
1,1,2013,4,21:00:00
1,1,2013,4,22:00:00
1,1,2013,4,23:00:00
1,1,2013,3,00:00:00
2,1,2013,3,01:00:00
2,1,2013,3,02:00:00
2,1,2013,2,03:00:00
2,1,2013,3,04:00:00
2,1,2013,4,05:00:00
2,1,2013,4,06:00:00
2,1,2013,5,07:00:00
2,1,2013,5,08:00:00
2,1,2013,6,09:00:00
2,1,2013,6,10:00:00
2,1,2013,7,11:00:00
2,1,2013,7,12:00:00
2,1,2013,8,13:00:00
2,1,2013,8,14:00:00
2,1,2013,8,14:14:00
2,1,2013,8,15:00:00
2,1,2013,9,16:00:00
2,1,2013,9,17:00:00
2,1,2013,10,18:00:00
2,1,2013,10,19:00:00
2,1,2013,11,20:00:00
2,1,2013,11,21:00:00
2,1,2013,11,22:00:00
2,1,2013,11,23:00:00
2,1,2013,11,00:00:00
3,1,2013,10,01:00:00
3,1,2013,10,02:00:00
3,1,2013,10,03:00:00
3,1,2013,10,04:00:00
3,1,2013,9,05:00:00
3,1,2013,10,06:00:00
3,1,2013,10,07:00:00
3,1,2013,10,08:00:00
3,1,2013,10,09:00:00
3,1,2013,10,10:00:00
3,1,2013,10,11:00:00
3,1,2013,11,12:00:00
3,1,2013,11,13:00:00
3,1,2013,11,14:00:00
3,1,2013,11,15:00:00
3,1,2013,11,16:00:00
3,1,2013,11,17:00:00
3,1,2013,11,18:00:00
3,1,2013,11,19:00:00
3,1,2013,11,20:00:00
3,1,2013,11,21:00:00
3,1,2013,11,22:00:00
3,1,2013,11,23:00:00
3,1,2013,11,00:00:00
4,1,2013,10,01:00:00
4,1,2013,10,02:00:00
4,1,2013,10,03:00:00
4,1,2013,10,04:00:00
4,1,2013,10,05:00:00
4,1,2013,10,06:00:00
4,1,2013,10,07:00:00
4,1,2013,10,08:00:00
4,1,2013,9,09:00:00
4,1,2013,10,10:00:00
4,1,2013,10,11:00:00
4,1,2013,10,12:00:00
4,1,2013,10,13:00:00
4,1,2013,10,14:00:00
4,1,2013,10,15:00:00
4,1,2013,10,16:00:00
4,1,2013,10,17:00:00
4,1,2013,10,18:00:00
4,1,2013,9,19:00:00
4,1,2013,9,20:00:00
4,1,2013,9,21:00:00
4,1,2013,9,22:00:00
4,1,2013,8,23:00:00
4,1,2013,8,00:00:00
5,1,2013,8,01:00:00
5,1,2013,8,02:00:00
5,1,2013,8,03:00:00
5,1,2013,8,04:00:00
5,1,2013,8,05:00:00
5,1,2013,8,06:00:00
5,1,2013,8,07:00:00
5,1,2013,9,08:00:00
5,1,2013,9,09:00:00
5,1,2013,10,10:00:00
5,1,2013,10,11:00:00
5,1,2013,11,12:00:00
5,1,2013,11,13:00:00
5,1,2013,11,14:00:00
5,1,2013,11,15:00:00
5,1,2013,10,16:00:00
5,1,2013,10,17:00:00
5,1,2013,10,18:00:00
5,1,2013,10,19:00:00
5,1,2013,9,20:00:00
5,1,2013,9,21:00:00
5,1,2013,7,22:00:00
5,1,2013,7,23:00:00
5,1,2013,6,00:00:00
6,1,2013,6,01:00:00
6,1,2013,5,02:00:00
6,1,2013,4,03:00:00
6,1,2013,6,04:00:00
6,1,2013,7,05:00:00
6,1,2013,7,06:00:00
6,1,2013,7,07:00:00
6,1,2013,7,08:00:00
6,1,2013,7,09:00:00
6,1,2013,8,10:00:00
6,1,2013,8,11:00:00
6,1,2013,8,12:00:00
6,1,2013,8,13:00:00
6,1,2013,8,14:00:00
6,1,2013,8,15:00:00
6,1,2013,8,16:00:00
6,1,2013,8,17:00:00
6,1,2013,8,18:00:00
6,1,2013,8,19:00:00
6,1,2013,9,20:00:00
6,1,2013,9,21:00:00
6,1,2013,9,22:00:00
6,1,2013,9,23:00:00
6,1,2013,8,00:00:00
7,1,2013,8,01:00:00
7,1,2013,7,02:00:00
7,1,2013,7,03:00:00
7,1,2013,7,04:00:00
7,1,2013,7,05:00:00
7,1,2013,7,06:00:00
7,1,2013,7,07:00:00
7,1,2013,7,07:11:00
7,1,2013,7,08:00:00
7,1,2013,8,09:00:00
7,1,2013,8,10:00:00
7,1,2013,8,11:00:00
7,1,2013,9,12:00:00
7,1,2013,9,13:00:00
7,1,2013,9,14:00:00
7,1,2013,9,15:00:00
7,1,2013,9,16:00:00
7,1,2013,9,17:00:00
7,1,2013,8,18:00:00
7,1,2013,9,19:00:00
7,1,2013,9,20:00:00
7,1,2013,9,21:00:00
7,1,2013,9,22:00:00
7,1,2013,9,23:00:00
7,1,2013,9,00:00:00
8,1,2013,9,01:00:00
8,1,2013,9,02:00:00
8,1,2013,9,03:00:00
8,1,2013,9,04:00:00
8,1,2013,10,05:00:00
