DateYYYYMMDD,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48
20120101,31261,31162,30589,30023,29485,28694,27617,27083,26636,26079,25771,25735,25925,26013,25596,25199,24521,25198,26495,27972,29862,31311,32675,33746,34852,35470,35729,35849,36024,36079,36404,36957,38344,39431,39985,39843,39312,38424,37503,36198,35798,35008,33889,32826,31936,30970,29814,29337
20120102,29560,29641,29663,29408,29210,29029,28344,27802,27260,26975,26963,27177,28127,28588,28580,28794,29336,30565,32067,33614,34931,35668,36338,36631,37052,37132,36976,36857,36936,36933,37894,38977,41618,44963,46333,46369,45720,44829,43602,42176,41022,39711,38477,36574,34950,33380,32058,31021
20120103,31185,31130,31292,30432,30081,30037,29778,29216,28798,28726,28787,29697,31404,33693,37197,39442,40792,41699,42982,43980,44631,45148,45664,46096,46533,46295,45847,45473,45577,45396,45384,46222,48221,50811,51973,51654,50991,50125,48694,47152,45919,43864,42398,40146,37951,35963,33813,33257
20120104,33592,33557,33292,32823,32296,32069,31485,31208,30926,31022,30986,31645,33461,36387,40037,42315,43466,43868,44914,45295,45528,45982,46389,46642,47001,47030,47039,46966,47199,47175,47280,48575,50811,52024,52376,52119,51645,50893,49451,48115,46545,44713,42787,40338,38665,36648,34660,33637
20120105,33718,33918,34149,33432,32966,32814,31915,31550,31230,31030,31373,32202,34415,36543,40276,42581,43771,43666,44339,44849,45058,45391,45373,45470,45524,45310,45200,45237,45408,45233,45132,46197,48617,50987,51656,51501,51029,50386,49202,47701,46368,44801,43109,40740,38548,36620,35336,34273
20120106,34381,34372,34368,33637,33229,33193,32709,32219,32153,32141,32267,33299,35274,37771,41688,43670,44800,45174,46108,46355,46431,46411,46478,46312,46313,46124,45696,45487,45338,45149,45028,45935,48146,50848,51663,50971,49989,48898,47161,45562,43883,41994,40361,38214,36885,35316,33708,32728
20120107,32762,32815,32896,32078,31454,31390,30746,29987,29352,29073,28799,29077,29997,30032,30646,31815,33408,35045,36996,37748,38395,38876,39007,39225,39290,39125,38791,38521,38455,38169,38426,39084,41400,44500,46238,46398,45731,44637,43380,41899,40405,39167,37816,36191,34924,33897,32493,31660
20120108,31968,31751,31699,30876,30193,29926,29327,28653,28401,28172,28085,28072,28405,28816,28968,29041,30020,31574,33618,35381,37051,38133,39182,39941,40629,40974,40732,40509,40577,40100,40632,41246,43169,45626,46576,46273,45664,44571,43177,42028,41307,39926,38251,36469,35070,33386,32054,31056
20120109,31450,31538,31168,30721,30586,30642,30342,29761,29368,29120,28862,29731,33687,37273,41106,43604,44658,44475,44753,44984,44900,44954,44994,45116,45164,45074,44891,44855,45025,44859,44891,45974,47829,50849,52103,51802,51166,50277,48862,47231,45637,44123,42491,40020,37855,35866,34467,33501
20120110,33385,33401,33208,32503,32074,32042,31713,31206,30557,30445,30521,31728,34319,37352,41757,44081,44819,44495,44881,45045,44949,45039,44975,45112,45160,45105,44999,44942,45235,45137,45158,46092,48201,51170,52439,51871,50893,49958,48736,47071,45917,44051,42386,39891,37814,35605,34223,33359
20120111,33274,33214,33018,32270,31990,31830,31440,31043,30135,30096,29539,30557,33729,37223,41533,43884,44569,44169,44668,44896,44259,44606,45237,44711,44741,44589,44414,44418,44537,44307,44486,45658,47946,50618,51861,51324,50481,49536,48339,47000,45811,44088,41965,39672,37490,35445,33779,32657
20120112,32836,33074,33170,32442,31807,31592,31205,30442,29939,29686,29472,30236,34361,37710,40810,43327,44383,43996,44220,44279,44403,44426,44619,44708,44686,44486,44364,44300,44432,44101,44243,45312,47359,50672,52218,52003,51491,50752,49440,48077,46630,44959,43331,41133,38985,36825,35421,34235
