Ora,Grado,Giorno,Mese,Anno,GradoFix,OraFix,OraFix2,OraFix3,OraFix4
"h:""00:50<br><span class=\""smaller soft\"">So, 1. Jan<\/span>""},","h:""13&nbsp;°C""},",01,01,2012,"['1', '3']",[],00:50,0,00:50:00
"h:""01:50""},","h:""12&nbsp;°C""},",01,01,2012,"['1', '2']",[],01:50,1,01:50:00
"h:""02:50""},","h:""12&nbsp;°C""},",01,01,2012,"['1', '2']",[],02:50,2,02:50:00
"h:""03:50""},","h:""12&nbsp;°C""},",01,01,2012,"['1', '2']",[],03:50,3,03:50:00
"h:""04:50""},","h:""12&nbsp;°C""},",01,01,2012,"['1', '2']",[],04:50,4,04:50:00
"h:""05:50""},","h:""12&nbsp;°C""},",01,01,2012,"['1', '2']",[],05:50,5,05:50:00
"h:""06:50""},","h:""12&nbsp;°C""},",01,01,2012,"['1', '2']",[],06:50,6,06:50:00
"h:""07:50""},","h:""12&nbsp;°C""},",01,01,2012,"['1', '2']",[],07:50,7,07:50:00
"h:""08:50""},","h:""11&nbsp;°C""},",01,01,2012,"['1', '1']",[],08:50,8,08:50:00
"h:""09:50""},","h:""12&nbsp;°C""},",01,01,2012,"['1', '2']",[],09:50,9,09:50:00
"h:""10:50""},","h:""13&nbsp;°C""},",01,01,2012,"['1', '3']",[],10:50,10,10:50:00
"h:""11:50""},","h:""13&nbsp;°C""},",01,01,2012,"['1', '3']",[],11:50,11,11:50:00
"h:""12:50""},","h:""12&nbsp;°C""},",01,01,2012,"['1', '2']",[],12:50,12,12:50:00
"h:""13:50""},","h:""12&nbsp;°C""},",01,01,2012,"['1', '2']",[],13:50,13,13:50:00
"h:""14:50""},","h:""10&nbsp;°C""},",01,01,2012,"['1', '0']",[],14:50,14,14:50:00
"h:""15:50""},","h:""10&nbsp;°C""},",01,01,2012,"['1', '0']",[],15:50,15,15:50:00
"h:""16:50""},","h:""10&nbsp;°C""},",01,01,2012,"['1', '0']",[],16:50,16,16:50:00
"h:""17:50""},","h:""10&nbsp;°C""},",01,01,2012,"['1', '0']",[],17:50,17,17:50:00
"h:""18:50""},","h:""10&nbsp;°C""},",01,01,2012,"['1', '0']",[],18:50,18,18:50:00
"h:""19:50""},","h:""10&nbsp;°C""},",01,01,2012,"['1', '0']",[],19:50,19,19:50:00
"h:""20:50""},","h:""9&nbsp;°C""},",01,01,2012,['9'],[],20:50,20,20:50:00
"h:""21:50""},","h:""8&nbsp;°C""},",01,01,2012,['8'],[],21:50,21,21:50:00
"h:""22:50""},","h:""8&nbsp;°C""},",01,01,2012,['8'],[],22:50,22,22:50:00
"h:""23:50""},","h:""7&nbsp;°C""},",01,01,2012,['7'],[],23:50,23,23:50:00
"h:""00:50<br><span class=\""smaller soft\"">Mo, 2. Jan<\/span>""},","h:""6&nbsp;°C""},",02,01,2012,['6'],[],00:50,0,00:50:00
"h:""01:50""},","h:""6&nbsp;°C""},",02,01,2012,['6'],[],01:50,1,01:50:00
"h:""02:50""},","h:""6&nbsp;°C""},",02,01,2012,['6'],[],02:50,2,02:50:00
"h:""03:50""},","h:""5&nbsp;°C""},",02,01,2012,['5'],[],03:50,3,03:50:00
"h:""04:50""},","h:""5&nbsp;°C""},",02,01,2012,['5'],[],04:50,4,04:50:00
"h:""05:50""},","h:""4&nbsp;°C""},",02,01,2012,['4'],[],05:50,5,05:50:00
"h:""06:50""},","h:""4&nbsp;°C""},",02,01,2012,['4'],[],06:50,6,06:50:00
"h:""07:50""},","h:""4&nbsp;°C""},",02,01,2012,['4'],[],07:50,7,07:50:00
"h:""08:50""},","h:""5&nbsp;°C""},",02,01,2012,['5'],[],08:50,8,08:50:00
"h:""09:50""},","h:""5&nbsp;°C""},",02,01,2012,['5'],[],09:50,9,09:50:00
"h:""10:50""},","h:""6&nbsp;°C""},",02,01,2012,['6'],[],10:50,10,10:50:00
"h:""11:50""},","h:""7&nbsp;°C""},",02,01,2012,['7'],[],11:50,11,11:50:00
"h:""12:50""},","h:""7&nbsp;°C""},",02,01,2012,['7'],[],12:50,12,12:50:00
"h:""13:50""},","h:""8&nbsp;°C""},",02,01,2012,['8'],[],13:50,13,13:50:00
"h:""14:50""},","h:""8&nbsp;°C""},",02,01,2012,['8'],[],14:50,14,14:50:00
"h:""15:50""},","h:""7&nbsp;°C""},",02,01,2012,['7'],[],15:50,15,15:50:00
"h:""16:50""},","h:""5&nbsp;°C""},",02,01,2012,['5'],[],16:50,16,16:50:00
"h:""17:50""},","h:""5&nbsp;°C""},",02,01,2012,['5'],[],17:50,17,17:50:00
"h:""18:50""},","h:""4&nbsp;°C""},",02,01,2012,['4'],[],18:50,18,18:50:00
"h:""19:50""},","h:""5&nbsp;°C""},",02,01,2012,['5'],[],19:50,19,19:50:00
"h:""20:50""},","h:""4&nbsp;°C""},",02,01,2012,['4'],[],20:50,20,20:50:00
"h:""21:50""},","h:""5&nbsp;°C""},",02,01,2012,['5'],[],21:50,21,21:50:00
"h:""22:50""},","h:""6&nbsp;°C""},",02,01,2012,['6'],[],22:50,22,22:50:00
"h:""23:50""},","h:""6&nbsp;°C""},",02,01,2012,['6'],[],23:50,23,23:50:00
"h:""00:50<br><span class=\""smaller soft\"">Di, 3. Jan<\/span>""},","h:""7&nbsp;°C""},",03,01,2012,['7'],[],00:50,0,00:50:00
"h:""01:50""},","h:""8&nbsp;°C""},",03,01,2012,['8'],[],01:50,1,01:50:00
"h:""02:50""},","h:""8&nbsp;°C""},",03,01,2012,['8'],[],02:50,2,02:50:00
"h:""03:50""},","h:""9&nbsp;°C""},",03,01,2012,['9'],[],03:50,3,03:50:00
"h:""04:50""},","h:""10&nbsp;°C""},",03,01,2012,"['1', '0']",[],04:50,4,04:50:00
"h:""05:50""},","h:""11&nbsp;°C""},",03,01,2012,"['1', '1']",[],05:50,5,05:50:00
"h:""06:50""},","h:""12&nbsp;°C""},",03,01,2012,"['1', '2']",[],06:50,6,06:50:00
"h:""07:50""},","h:""12&nbsp;°C""},",03,01,2012,"['1', '2']",[],07:50,7,07:50:00
"h:""08:50""},","h:""12&nbsp;°C""},",03,01,2012,"['1', '2']",[],08:50,8,08:50:00
"h:""09:50""},","h:""12&nbsp;°C""},",03,01,2012,"['1', '2']",[],09:50,9,09:50:00
"h:""11:00""},","h:""12&nbsp;°C""},",03,01,2012,"['1', '2']",[],11:00,11,11:00:00
"h:""11:50""},","h:""9&nbsp;°C""},",03,01,2012,['9'],[],11:50,11,11:50:00
"h:""12:05""},","h:""8&nbsp;°C""},",03,01,2012,['8'],[],12:05,12,12:05:00
"h:""12:50""},","h:""8&nbsp;°C""},",03,01,2012,['8'],[],12:50,12,12:50:00
"h:""13:50""},","h:""9&nbsp;°C""},",03,01,2012,['9'],[],13:50,13,13:50:00
"h:""14:50""},","h:""10&nbsp;°C""},",03,01,2012,"['1', '0']",[],14:50,14,14:50:00
"h:""15:50""},","h:""8&nbsp;°C""},",03,01,2012,['8'],[],15:50,15,15:50:00
"h:""16:50""},","h:""7&nbsp;°C""},",03,01,2012,['7'],[],16:50,16,16:50:00
"h:""17:50""},","h:""7&nbsp;°C""},",03,01,2012,['7'],[],17:50,17,17:50:00
"h:""18:50""},","h:""7&nbsp;°C""},",03,01,2012,['7'],[],18:50,18,18:50:00
"h:""19:50""},","h:""6&nbsp;°C""},",03,01,2012,['6'],[],19:50,19,19:50:00
"h:""20:50""},","h:""6&nbsp;°C""},",03,01,2012,['6'],[],20:50,20,20:50:00
"h:""21:50""},","h:""5&nbsp;°C""},",03,01,2012,['5'],[],21:50,21,21:50:00
"h:""22:50""},","h:""6&nbsp;°C""},",03,01,2012,['6'],[],22:50,22,22:50:00
"h:""23:50""},","h:""5&nbsp;°C""},",03,01,2012,['5'],[],23:50,23,23:50:00
"h:""00:50<br><span class=\""smaller soft\"">Mi, 4. Jan<\/span>""},","h:""6&nbsp;°C""},",04,01,2012,['6'],[],00:50,0,00:50:00
"h:""01:50""},","h:""6&nbsp;°C""},",04,01,2012,['6'],[],01:50,1,01:50:00
"h:""02:50""},","h:""6&nbsp;°C""},",04,01,2012,['6'],[],02:50,2,02:50:00
"h:""03:50""},","h:""5&nbsp;°C""},",04,01,2012,['5'],[],03:50,3,03:50:00
"h:""04:50""},","h:""5&nbsp;°C""},",04,01,2012,['5'],[],04:50,4,04:50:00
"h:""05:50""},","h:""5&nbsp;°C""},",04,01,2012,['5'],[],05:50,5,05:50:00
"h:""06:50""},","h:""5&nbsp;°C""},",04,01,2012,['5'],[],06:50,6,06:50:00
"h:""07:50""},","h:""6&nbsp;°C""},",04,01,2012,['6'],[],07:50,7,07:50:00
"h:""08:50""},","h:""6&nbsp;°C""},",04,01,2012,['6'],[],08:50,8,08:50:00
