Giorno,Mese,Anno,GradoFix,OraFix3,OraFix5
1,1,2012,"['1', '3']",0,01:00:00
1,1,2012,"['1', '2']",1,02:00:00
1,1,2012,"['1', '2']",2,03:00:00
1,1,2012,"['1', '2']",3,04:00:00
1,1,2012,"['1', '2']",4,05:00:00
1,1,2012,"['1', '2']",5,06:00:00
1,1,2012,"['1', '2']",6,07:00:00
1,1,2012,"['1', '2']",7,08:00:00
1,1,2012,"['1', '1']",8,09:00:00
1,1,2012,"['1', '2']",9,10:00:00
1,1,2012,"['1', '3']",10,11:00:00
1,1,2012,"['1', '3']",11,12:00:00
1,1,2012,"['1', '2']",12,13:00:00
1,1,2012,"['1', '2']",13,14:00:00
1,1,2012,"['1', '0']",14,15:00:00
1,1,2012,"['1', '0']",15,16:00:00
1,1,2012,"['1', '0']",16,17:00:00
1,1,2012,"['1', '0']",17,18:00:00
1,1,2012,"['1', '0']",18,19:00:00
1,1,2012,"['1', '0']",19,20:00:00
1,1,2012,['9'],20,21:00:00
1,1,2012,['8'],21,22:00:00
1,1,2012,['8'],22,23:00:00
1,1,2012,['7'],23,00:00:00
2,1,2012,['6'],0,01:00:00
2,1,2012,['6'],1,02:00:00
2,1,2012,['6'],2,03:00:00
2,1,2012,['5'],3,04:00:00
2,1,2012,['5'],4,05:00:00
2,1,2012,['4'],5,06:00:00
2,1,2012,['4'],6,07:00:00
2,1,2012,['4'],7,08:00:00
2,1,2012,['5'],8,09:00:00
2,1,2012,['5'],9,10:00:00
2,1,2012,['6'],10,11:00:00
2,1,2012,['7'],11,12:00:00
2,1,2012,['7'],12,13:00:00
2,1,2012,['8'],13,14:00:00
2,1,2012,['8'],14,15:00:00
2,1,2012,['7'],15,16:00:00
2,1,2012,['5'],16,17:00:00
2,1,2012,['5'],17,18:00:00
2,1,2012,['4'],18,19:00:00
2,1,2012,['5'],19,20:00:00
2,1,2012,['4'],20,21:00:00
2,1,2012,['5'],21,22:00:00
2,1,2012,['6'],22,23:00:00
2,1,2012,['6'],23,00:00:00
3,1,2012,['7'],0,01:00:00
3,1,2012,['8'],1,02:00:00
3,1,2012,['8'],2,03:00:00
3,1,2012,['9'],3,04:00:00
3,1,2012,"['1', '0']",4,05:00:00
3,1,2012,"['1', '1']",5,06:00:00
3,1,2012,"['1', '2']",6,07:00:00
3,1,2012,"['1', '2']",7,08:00:00
3,1,2012,"['1', '2']",8,09:00:00
3,1,2012,"['1', '2']",9,10:00:00
3,1,2012,"['1', '2']",11,11:10:00
3,1,2012,['9'],11,12:00:00
3,1,2012,['8'],12,12:15:00
3,1,2012,['8'],12,13:00:00
3,1,2012,['9'],13,14:00:00
3,1,2012,"['1', '0']",14,15:00:00
3,1,2012,['8'],15,16:00:00
3,1,2012,['7'],16,17:00:00
3,1,2012,['7'],17,18:00:00
3,1,2012,['7'],18,19:00:00
3,1,2012,['6'],19,20:00:00
3,1,2012,['6'],20,21:00:00
3,1,2012,['5'],21,22:00:00
3,1,2012,['6'],22,23:00:00
3,1,2012,['5'],23,00:00:00
4,1,2012,['6'],0,01:00:00
4,1,2012,['6'],1,02:00:00
4,1,2012,['6'],2,03:00:00
4,1,2012,['5'],3,04:00:00
4,1,2012,['5'],4,05:00:00
4,1,2012,['5'],5,06:00:00
4,1,2012,['5'],6,07:00:00
