"","Prezzi","Consumi","Consumiperc","Prezzoperc","Gradi"
"1",148.06,13680,0,0,-1
"2",125.21,13115,-15.432932594894,-4.13011695906433,-2
"3",103.17,12438,-17.6024279210926,-5.16202821197103,-2
"4",103.07,12022,-0.0969274013763774,-3.34458916224473,-1
"5",102.97,11755,-0.0970214417386187,-2.22092829812011,-1
"6",102.97,11700,0,-0.467886005954913,-1
"7",102.97,11723,0,0.196581196581197,-1
"8",102.97,11489,0,-1.99607608973812,-1
"9",80,11345,-22.3074681946198,-1.25337279136565,-1
"10",102.97,11795,28.7125,3.96650506831203,-1
"11",102.97,12293,0,4.22212802034761,0
"12",103.07,12774,0.0971156647567197,3.91279590010575,1
"13",103.17,13185,0.0970214417386325,3.21747299201503,2
"14",103.17,13544,0,2.7227910504361,3
"15",105.99,13715,2.7333527188136,1.26255168340224,2
"16",150.01,14074,41.5322200207567,2.61757200145826,2
"17",155,15498,3.32644490367309,10.1179479891999,2
"18",150.01,15898,-3.21935483870968,2.58097819073429,2
"19",150.01,16067,0,1.06302679582337,2
"20",150.01,16247,0,1.12030870728823,2
"21",150.01,15893,0,-2.1788637902382,2
"22",150.01,15021,0,-5.48669225445165,2
"23",108.03,14116,-27.9848010132658,-6.02489847546768,3
"24",103.17,13040,-4.4987503471258,-7.62255596486257,0
"25",103.17,12195,0,-6.48006134969325,4
"26",103.17,11755,0,-3.6080360803608,4
"27",103.07,11567,-0.0969274013763774,-1.59931943853679,4
"28",103.07,11566,0,-0.00864528399757932,5
"29",103.17,11918,0.0970214417386325,3.0434030779872,5
"30",103.17,12742,0,6.91391173015607,5
"31",109.04,15334,5.68963846079287,20.3421754826558,6
"32",150,17425,37.5641966250917,13.6363636363636,6
"33",155,18225,3.33333333333333,4.59110473457676,6
"34",177.5,18757,14.5161290322581,2.91906721536351,6
"35",182.75,18929,2.95774647887324,0.916990990030389,7
"36",174.5,19182,-4.51436388508892,1.33657351154313,8
"37",175.91,19158,0.808022922636101,-0.125117297466375,9
"38",182.99,19363,4.02478540162584,1.07004906566447,9
"39",175.75,19290,-3.95650035521067,-0.377007695088571,9
"40",174,19568,-0.995732574679943,1.44116122343183,9
"41",190,20825,9.19540229885057,6.42375306623058,8
"42",183.1,21035,-3.63157894736842,1.00840336134454,8
"43",183.75,20699,0.354997269251778,-1.5973377703827,8
"44",197,20603,7.2108843537415,-0.463790521281221,8
"45",185.88,19976,-5.64467005076142,-3.04324612920448,8
"46",174,18736,-6.39122014202711,-6.20744893872647,7
"47",165,17280,-5.17241379310345,-7.77113578138343,7
"48",151,15765,-8.48484848484848,-8.76736111111111,0
"49",118.97,14732,-21.2119205298013,-6.55248969235649,7
"50",103.17,14069,-13.2806589896613,-4.50040727667662,7
"51",103.17,13768,0,-2.13945554055015,7
"52",103.17,13800,0,0.232423009877978,7
"53",129.86,14055,25.8699234273529,1.84782608695652,7
"54",147.47,14702,13.5607577391036,4.60334400569192,6
"55",130,16889,-11.8464772496101,14.8755271391647,6
"56",181.88,18679,39.9076923076923,10.5986144827995,6
"57",187.22,19230,2.93600175940181,2.94983671502757,6
"58",187.8,19502,0.309795961969882,1.41445657826313,6
"59",187.25,19435,-0.292864749733765,-0.343554507230028,6
"60",186.5,19526,-0.400534045393858,0.468227424749164,6
"61",175.91,19423,-5.67828418230563,-0.527501792481819,6
"62",172.97,19527,-1.67130919220056,0.535447665139268,6
"63",161.84,19337,-6.43464184540672,-0.973011727351872,6
"64",165,19546,1.95254572417202,1.08082949785386,3
"65",174,21131,5.45454545454545,8.10907602578533,3
"66",183.75,21391,5.60344827586207,1.23041976243434,3
"67",182.75,21208,-0.54421768707483,-0.855499976625684,4
"68",175.75,21004,-3.83036935704514,-0.961901169370049,5
"69",182.18,20271,3.65860597439545,-3.48981146448296,6
"70",155,19030,-14.9193105719618,-6.12204627300084,6
"71",111.23,17482,-28.2387096774194,-8.13452443510247,6
"72",103.17,16114,-7.24624651622764,-7.82519162567212,0
"73",108.54,14935,5.20500145391102,-7.31661908899094,7
"74",108.54,14344,0,-3.95714763977235,8
"75",108.54,14057,0,-2.00083658672616,6
"76",108.64,14072,0.0921319329279476,0.106708401508145,7
"77",108.64,14273,0,1.42836839113132,7
"78",108.64,14854,0,4.07062285434036,7
"79",116.47,16964,7.20729013254786,14.2049279655312,7
"80",155,18859,33.081480209496,11.1707144541382,7
"81",180.91,19370,16.7161290322581,2.70958163211199,7
"82",183.75,19680,1.56984135758112,1.60041300980898,7
"83",183.88,19764,0.0707482993197254,0.426829268292683,6
"84",184.88,20136,0.543832934522515,1.88221007893139,6
"85",187,20185,1.14668974469927,0.243345252284466,0
"86",186.28,20365,-0.385026737967914,0.891751300470647,7
"87",180.91,20065,-2.88275713978957,-1.47311563957771,6
"88",187.83,20125,3.82510640650048,0.299028158484924,6
"89",183.2,21376,-2.46499494223501,6.21614906832298,6
"90",187,21508,2.07423580786027,0.61751497005988,5
"91",190,21152,1.60427807486631,-1.65519806583597,6
"92",187,21012,-1.57894736842105,-0.661875945537065,5
"93",182.18,20389,-2.57754010695187,-2.96497239672568,5
"94",165,19164,-9.43023383466901,-6.00814164500466,4
"95",116.47,17625,-29.4121212121212,-8.03068252974327,4
"96",108.64,16235,-6.7227612260668,-7.88652482269504,0
"97",108.54,15182,-0.0920471281295971,-6.48598706498306,5
"98",108.54,14493,0,-4.53826900276643,4
"99",80,14227,-26.2944536576377,-1.83536879873042,4
"100",80,14189,0,-0.267097771842272,4
"101",108.54,14375,35.675,1.31087462118543,3
"102",108.74,15022,0.184263865855895,4.50086956521739,3
"103",116.47,17120,7.10869965054258,13.9661829317002,2
"104",151,18939,29.6471194298961,10.625,2
"105",170.91,19504,13.1854304635762,2.98326205185068,1
"106",155,19907,-9.30899303727108,2.06624282198523,1
"107",172.97,20074,11.5935483870968,0.838900889134475,2
"108",174.5,20313,0.884546453142164,1.1905947992428,2
