"","Prezzo","Consumi","Gradi","Consumiperc","Prezzoperc"
"1",42.83,62423,13,0,0
"2",40.38,60612,12,-5.72028951669391,-2.9011742466719
"3",36.76,58179,12,-8.96483407627536,-4.014056622451
"4",31.22,54700,12,-15.0707290533188,-5.97982089757473
"5",29.815,52715,12,-4.50032030749519,-3.62888482632541
"6",29.795,51506,12,-0.0670803286936092,-2.29346485819975
"7",29.725,51938,12,-0.2349387481121,0.838737234496952
"8",30.825,50795,12,3.70058873002524,-2.20070083561169
"9",31.22,49719,11,1.28142741281426,-2.11831873215868
"10",32.585,54467,12,4.37219730941705,9.54966914057
"11",35.97,61173,13,10.3882154365506,12.3120421539648
"12",47.425,66421,13,31.845982763414,8.57894822879375
"13",47.635,70322,12,0.442804428044282,5.87314253022388
"14",43.665,71578,12,-8.33420804030649,1.78606979323682
"15",42.195,72103,10,-3.3665407076606,0.73346558998575
"16",47.26,73361,10,12.0037919184737,1.74472629432895
"17",49.92,77775,10,5.62843842573001,6.0168209266504
"18",62.025,79828,10,24.2487980769231,2.63966570234651
"19",55.145,77736,10,-11.0923014913341,-2.62063436388235
"20",46.87,73701,10,-15.0058935533593,-5.19064526088299
"21",47.58,70806,9,1.51482824834648,-3.92803354092889
"22",39.79,66715,8,-16.3724253888188,-5.77775894698189
"23",38.485,62906,8,-3.27971852224177,-5.70936071348272
"24",36.425,59151,7,-5.35273483175264,-5.96922392140654
"25",36.25,59201,6,-0.48043925875085,0.0845294246927355
"26",34.66,59071,6,-4.38620689655173,-0.2195908852891
"27",31.41,58239,6,-9.37680323139064,-1.40847454757834
"28",31.445,56146,5,0.111429481056989,-3.59381170693178
"29",30.12,54235,5,-4.21370647161711,-3.40362626010758
"30",31.42,54140,4,4.31606905710492,-0.175163639716051
"31",32.375,56715,4,3.03946530872055,4.75618766161803
"32",35.04,57374,4,8.23166023166023,1.16195010138411
"33",34.935,59901,5,-0.299657534246566,4.40443406421027
"34",36.89,65681,5,5.59610705596107,9.64925460342899
"35",37.79,70599,6,2.43968555164003,7.48770572920631
"36",45.51,72969,7,20.4286848372585,3.35698805932095
"37",43.815,74184,7,-3.72445616348057,1.66509065493566
"38",41.475,73833,8,-5.34063676823005,-0.473147848592688
"39",40.87,73869,8,-1.458710066305,0.0487586851407907
"40",48.89,76871,7,19.6231954979202,4.06395104847771
"41",55.08,86581,5,12.661075884639,12.6315515604064
"42",65.46,92702,5,18.8453159041394,7.06968041487162
"43",58.975,90549,4,-9.90681332111213,-2.32249573903476
"44",45.89,85778,5,-22.1873675286138,-5.26897039172161
"45",44.785,80733,4,-2.40793201133145,-5.88146144699107
"46",39.97,75051,5,-10.751367645417,-7.03801419493887
"47",38.36,68330,6,-4.02802101576182,-8.95524376757139
"48",35.91,63079,6,-6.38686131386862,-7.68476511049319
"49",35.835,62315,7,-0.208855472013355,-1.21117963189017
"50",33.63,61724,8,-6.15320217664296,-0.948407285565273
"51",33.47,60118,8,-0.47576568539993,-2.6019052556542
"52",30.88,58994,9,-7.73827308037047,-1.86965634252636
"53",30.07,57524,10,-2.62305699481866,-2.49177882496525
"54",30.915,58484,11,2.81010974393082,1.66886864613031
"55",33.61,65097,12,8.71745107552968,11.3073661172286
"56",41.07,76639,12,22.1957750669444,17.7304637694517
"57",41.94,82491,12,2.11833455076698,7.63579900572815
"58",46.66,86962,12,11.2541726275632,5.41998521050781
"59",46.455,89779,7,-0.439348478354047,3.23934592120696
"60",49.68,91760,9,6.94220213109461,2.20652936655565
"61",49.635,92828,8,-0.090579710144931,1.1639058413252
"62",44.065,91320,9,-11.2219200161177,-1.6245098461671
"63",42.915,90973,10,-2.60978100533303,-0.379982479194043
"64",42.935,91606,8,0.0466037516020112,0.695810844975982
"65",54.01,99032,7,25.7948061022476,8.10645590900159
"66",60.595,103627,7,12.1921866321052,4.63991437111237
"67",56.465,101116,7,-6.81574387325686,-2.42311366728748
"68",44.825,95846,6,-20.6145399805189,-5.21183591123067
"69",42.01,89783,6,-6.27997769102063,-6.32577259353546
"70",38.46,82544,5,-8.45036895977149,-8.0627735762895
"71",37.405,73914,6,-2.74310972438897,-10.4550300445823
"72",35,67070,5,-6.42962170832777,-9.25940958411126
"73",35.095,67149,6,0.271428571428568,0.117787386312808
"74",32.275,66115,6,-8.03533266847129,-1.53985911927207
"75",30.9,64365,6,-4.26026336173509,-2.64690312334569
"76",30.855,62693,5,-0.145631067961159,-2.59768507729356
"77",30.535,61948,5,-1.03710905849945,-1.18833043561482
"78",30.595,62631,5,0.196495824463738,1.10253761219087
"79",34.32,69848,5,12.1751920248407,11.5230476920375
"80",42.5,82352,6,23.8344988344988,17.9017294697056
"81",40.19,87334,6,-5.43529411764706,6.04964056732077
"82",42.71,90209,6,6.27021647175915,3.29195960336181
"83",43.33,91510,7,1.45165066729103,1.44220643173076
"84",41.33,93031,8,-4.61573967228248,1.6621134302262
"85",41.965,94031,8,1.5364142269538,1.07491051369973
"86",40.185,94005,8,-4.24162992970333,-0.0276504557007795
"87",39.745,94374,8,-1.0949359213637,0.392532312111058
"88",44.465,95855,8,11.8757076361807,1.56928815139763
"89",53.72,102835,8,20.8141234678961,7.28183193364978
"90",57.515,104495,9,7.0644080416977,1.61423639811348
"91",52.49,102538,8,-8.73685125619405,-1.87281688119049
"92",41.115,97566,8,-21.6707944370356,-4.84893405371667
"93",41.255,91258,8,0.340508330293082,-6.46536703359777
"94",38.95,83125,9,-5.58720155132709,-8.91209537793947
"95",37.495,75313,10,-3.73555840821566,-9.3978947368421
"96",36.305,68297,10,-3.17375650086679,-9.31578877484631
"97",36.295,67636,10,-0.0275444153697783,-0.967831676354745
"98",34.885,67581,11,-3.88483262157321,-0.0813176414926962
"99",33.445,65780,11,-4.12784864554968,-2.66495020789867
"100",33.405,63465,11,-0.119599342203615,-3.51930678017635
"101",32.425,62260,11,-2.93369256099388,-1.89868431418892
"102",32.99,63575,12,1.74248265227449,2.11211050433665
"103",36.735,70958,11,11.3519248257048,11.6130554463232
"104",43.225,82857,11,17.6670749965972,16.7690746638857
"105",43.155,87437,10,-0.161943319838041,5.52759573723403
"106",42.39,89188,10,-1.77267987486966,2.00258471813992
"107",42.61,90449,8,0.518990327907523,1.41386733641297
"108",48.755,90843,10,14.421497301103,0.435604594854559
"109",50.65,90834,10,3.88678084299047,-0.00990720253624385
"110",43.175,90437,9,-14.7581441263574,-0.437061012396239
"111",42.025,90641,9,-2.66357845975678,0.225571392239902
"112",40.075,91329,8,-4.64009518143963,0.759038404254145
"113",51.495,99604,8,28.4965689332502,9.06064886290226
"114",59.53,103157,8,15.6034566462763,3.56712581824023
"115",54.24,101415,7,-8.88627582731397,-1.68868811617244
