"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","values"
"2015.0000",19318.9724344669,17789.8282941491,20848.1165747848,16980.3482832648,21657.5965856691,2015-01-01
"2015.0027",19706.1699268509,17529.503493298,21882.8363604038,16377.2458860082,23035.0939676936,2015-01-02
"2015.0055",20291.4656253518,18070.3009451932,22512.6303055104,16894.487389058,23688.4438616456,2015-01-03
"2015.0082",20636.6198278494,18414.8515482815,22858.3881074172,17238.7184659201,24034.5211897786,2015-01-04
"2015.0110",21071.9973916976,18850.2208417372,23293.773941658,17674.0833812945,24469.9114021007,2015-01-05
"2015.0137",21543.5059817176,19321.7293184226,23765.2826450125,18145.5917979842,24941.4201654509,2015-01-06
"2015.0164",22040.8989780499,19819.1223132018,24262.6756428979,18642.9847919413,25438.8131641585,2015-01-07
"2015.0192",22548.4230924085,20326.6464275392,24770.1997572778,19150.5089062673,25946.3372785497,2015-01-08
"2015.0219",23051.3755669487,20829.5989020791,25273.1522318183,19653.4613808071,26449.2897530903,2015-01-09
"2015.0247",23536.0682993956,21314.2916345259,25757.8449642652,20138.1541132539,26933.9824855372,2015-01-10
"2015.0274",23990.4772587681,21768.7005938985,26212.2539236378,20592.5630726265,27388.3914449097,2015-01-11
"2015.0301",24404.692759098,22182.9160942284,26626.4694239677,21006.7785729564,27802.6069452397,2015-01-12
"2015.0329",24771.2494868054,22549.4728219358,26993.026151675,21373.3353006638,28169.163672947,2015-01-13
"2015.0356",25085.3114740734,22863.5348092037,27307.088138943,21687.3972879318,28483.225660215,2015-01-14
"2015.0384",25344.7091261484,23122.9324612788,27566.485791018,21946.7949400068,28742.62331229,2015-01-15
"2015.0411",25549.8327067489,23328.0560418793,27771.6093716185,22151.9185206073,28947.7468928905,2015-01-16
"2015.0438",25703.3951616315,23481.6184967618,27925.1718265011,22305.4809754899,29101.3093477731,2015-01-17
"2015.0466",25810.0843943896,23588.30772952,28031.8610592592,22412.170208248,29207.9985805312,2015-01-18
"2015.0493",25876.1308945615,23654.3542296919,28097.9075594311,22478.2167084199,29274.0450807031,2015-01-19
"2015.0521",25908.8206035874,23687.0439387178,28130.597268457,22510.9064174458,29306.734789729,2015-01-20
"2015.0548",25915.9848894183,23694.2082245487,28137.7615542879,22518.0707032767,29313.8990755599,2015-01-21
"2015.0575",25905.4994171407,23683.7227522711,28127.2760820103,22507.5852309991,29303.4136032823,2015-01-22
"2015.0603",25884.8216192337,23663.0449543641,28106.5982841034,22486.9074330921,29282.7358053753,2015-01-23
"2015.0630",25860.5925825505,23638.8159176809,28082.3692474201,22462.6783964089,29258.5067686921,2015-01-24
"2015.0658",25838.3237906885,23616.5471258189,28060.1004555582,22440.4096045469,29236.2379768301,2015-01-25
"2015.0685",25822.182691079,23600.4060262094,28043.9593559486,22424.2685049374,29220.0968772206,2015-01-26
"2015.0712",25814.883958104,23593.1072932344,28036.6606229737,22416.9697719624,29212.7981442456,2015-01-27
