"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","values"
"2015.0000",37966.0493488094,35697.2500330079,40234.848664611,34496.2202239622,41435.8784736566,2015-01-01
"2015.0027",36182.75918297,33347.3954157465,39018.1229501935,31846.4445029857,40519.0738629543,2015-01-02
"2015.0055",36275.0886817024,33406.4280268049,39143.7493366,31887.8508064344,40662.3265569704,2015-01-03
"2015.0082",37192.0210527585,34307.5010476603,40076.5410578567,32780.5283944235,41603.5137110935,2015-01-04
"2015.0110",38050.1602555236,35139.7248314451,40960.5956796021,33599.03338409,42501.2871269573,2015-01-05
"2015.0137",38574.3338961087,35658.4120968071,41490.2556954102,34114.8163378451,43033.8514543722,2015-01-06
"2015.0164",38883.050862092,35967.1143394662,41798.9873847178,34423.5107864471,43342.5909377369,2015-01-07
"2015.0192",39164.8212826862,36247.9699747303,42081.6725906422,34703.8821636093,43625.7604017632,2015-01-08
"2015.0219",39514.8934969845,36597.5906715468,42432.1963224223,35053.263841509,43976.5231524601,2015-01-09
"2015.0247",39932.5813629321,37015.2560152693,42849.9067105949,35470.9172626857,44394.2454631784,2015-01-10
"2015.0274",40379.6533499997,37462.3095244998,43296.9971754996,35917.9609903402,44841.3457096592,2015-01-11
"2015.0301",40825.1189075759,37907.7503167286,43742.4874984232,36363.3886725859,45286.8491425659,2015-01-12
"2015.0329",41257.245148299,38339.8719744649,44174.6183221331,36795.5079042355,45718.9823923625,2015-01-13
"2015.0356",41676.0415369276,38758.6683077398,44593.4147661154,37214.304208208,46137.7788656473,2015-01-14
"2015.0384",42083.220421848,39165.8462559756,45000.5945877205,37621.4816605929,46544.9591831032,2015-01-15
"2015.0411",42477.4866490271,39560.1120755583,45394.8612224958,38015.7472644071,46939.226033647,2015-01-16
"2015.0438",42854.7539524764,39937.3793644371,45772.1285405158,38393.0145455727,47316.4933593801,2015-01-17
"2015.0466",43210.082601099,40292.7079918713,46127.4572103267,38748.3431617905,47671.8220404076,2015-01-18
"2015.0493",43539.08388762,40621.709254759,46456.458520481,39077.3444121675,48000.8233630726,2015-01-19
"2015.0521",43838.2863451852,40920.911708553,46755.6609818175,39376.5468639651,48300.0258264054,2015-01-20
"2015.0548",44104.9181342664,41187.5434975173,47022.2927710155,39643.1786528676,48566.6576156652,2015-01-21
"2015.0575",44336.6325649006,41419.2579272026,47254.0072025986,39874.8930820505,48798.3720477507,2015-01-22
"2015.0603",44531.4033647844,41614.0287267219,47448.778002847,40069.6638813768,48993.142848192,2015-01-23
"2015.0630",44687.5644199401,41770.189781869,47604.9390580112,40225.8249365195,49149.3039033608,2015-01-24
"2015.0658",44803.891023558,41886.5163854632,47721.2656616528,40342.151540101,49265.6305070149,2015-01-25
"2015.0685",44879.654624056,41962.2799859388,47797.0292621732,40417.9151405649,49341.3941075472,2015-01-26
"2015.0712",44914.6380523796,41997.2634142594,47832.0126904999,40452.8985688839,49376.3775358754,2015-01-27
"2015.0740",44909.1265679321,41991.7519298117,47826.5012060526,40447.387084436,49370.8660514282,2015-01-28
"2015.0767",44863.8910559323,41946.5164178109,47781.2656940537,40402.1515724347,49325.6305394298,2015-01-29
"2015.0795",44780.1700354115,41862.7953972898,47697.5446735332,40318.4305519134,49241.9095189095,2015-01-30
