"","x","values"
"1",32726.2,2014-01-01
"2",32253.6,2014-01-02
"3",35131.7,2014-01-03
"4",35337.5,2014-01-04
"5",32560,2014-01-05
"6",33335.5,2014-01-06
"7",34094.3,2014-01-07
"8",36206.3,2014-01-08
"9",36045.6,2014-01-09
"10",37233,2014-01-10
"11",37828.2,2014-01-11
"12",37987.5,2014-01-12
"13",38544.7,2014-01-13
"14",46956.1,2014-01-14
"15",47805.7,2014-01-15
"16",47509.2,2014-01-16
"17",45491.2,2014-01-17
"18",44896.3,2014-01-18
"19",40950.8,2014-01-19
"20",41444.9,2014-01-20
"21",45430.9,2014-01-21
"22",49804,2014-01-22
"23",50219.4,2014-01-23
"24",49325.8,2014-01-24
"25",48544.3,2014-01-25
"26",42749.9,2014-01-26
"27",41369.1,2014-01-27
"28",44302.9,2014-01-28
"29",45683.2,2014-01-29
"30",45970.2,2014-01-30
"31",46871.3,2014-01-31
"32",48020.6,2014-02-01
"33",40929.3,2014-02-02
"34",37870,2014-02-03
"35",44586.6,2014-02-04
"36",43524.2,2014-02-05
"37",43063.5,2014-02-06
"38",42900.3,2014-02-07
"39",41110,2014-02-08
"40",37268.2,2014-02-09
"41",36201.1,2014-02-10
"42",40544.5,2014-02-11
"43",41551.8,2014-02-12
"44",42339,2014-02-13
"45",41334.2,2014-02-14
"46",41667.2,2014-02-15
"47",37226.1,2014-02-16
"48",35968.3,2014-02-17
"49",39459.8,2014-02-18
"50",42747.4,2014-02-19
"51",42187.1,2014-02-20
"52",42495.7,2014-02-21
"53",41831.3,2014-02-22
"54",36901.7,2014-02-23
"55",35448.3,2014-02-24
"56",37808.3,2014-02-25
"57",38810.5,2014-02-26
"58",41038.8,2014-02-27
"59",43418.8,2014-02-28
"60",43130.8,2014-03-01
"61",39894.5,2014-03-02
"62",38008.8,2014-03-03
"63",39349.5,2014-03-04
"64",42751.9,2014-03-05
"65",43285,2014-03-06
"66",42558.8,2014-03-07
"67",40040.1,2014-03-08
"68",37132.7,2014-03-09
"69",33624.5,2014-03-10
"70",38293.5,2014-03-11
"71",40031.9,2014-03-12
"72",41118.7,2014-03-13
"73",41279.9,2014-03-14
"74",40790.7,2014-03-15
"75",34486.2,2014-03-16
"76",35358.2,2014-03-17
"77",39328.2,2014-03-18
"78",41925.8,2014-03-19
"79",40050.3,2014-03-20
"80",40727.9,2014-03-21
"81",36968.5,2014-03-22
"82",36350.4,2014-03-23
"83",34643.9,2014-03-24
"84",41972.1,2014-03-25
"85",41444.3,2014-03-26
"86",39518.8,2014-03-27
"87",39664.4,2014-03-28
"88",41072,2014-03-29
"89",39163.4,2014-03-30
"90",35192.9,2014-03-31
"91",40385.3,2014-04-01
"92",40794.3,2014-04-02
"93",39830.5,2014-04-03
"94",40155.9,2014-04-04
"95",38992,2014-04-05
"96",35688.9,2014-04-06
"97",33257.5,2014-04-07
"98",36788.6,2014-04-08
"99",36127.6,2014-04-09
"100",37069.9,2014-04-10
"101",38697.6,2014-04-11
"102",39497,2014-04-12
"103",36060.5,2014-04-13
"104",31098.9,2014-04-14
"105",35220.6,2014-04-15
