,TSTOT.PrezzoScandi,TSTOT.ConsumiScandi,TSTOT.GradiScandi,TSTOT.ConsumipercScandi,TSTOT.PrezzopercScandi,TSTOT.BankHolidayScandi,TSTOT.EndYearScandi,TSTOT.DayOfWeekScandi,TSTOT.DayOffScandi,lunedi,martedi,mercoledi,giovedi,venerdi,sabato,domenica
0,34.65,33043.6,-4.0,2.47888774139925,8.21361648969393,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,34.65,40963.3,5.0,12.6693273115843,8.21361648969393,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,33.37,41785.9,3.0,9.208779376097679,3.47286821705426,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,31.95,41644.2,4.0,14.093073462611198,11.98738170347,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,33.66,42628.0,-1.0,12.1228859254583,9.96406403136229,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,31.28,39273.6,-3.0,9.75337795352606,8.648836401528321,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,29.35,36680.7,-4.0,3.89867523219549,3.4908321579689803,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,28.7,35234.9,-2.0,4.21165955357592,1.3418079096045201,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,46.65,46139.1,-7.0,7.501986285890019,29.691409507923304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,43.39,45614.0,-3.0,6.86039320051727,20.7625939326468,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,38.0,45311.7,4.0,9.22403465340568,10.3047895500726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,36.78,44695.5,3.0,10.3088712563397,8.55962219598583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,35.28,44944.1,0.0,11.9951458246118,5.15648286140091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
