"","trainplot","values"
"1",20944.252,2014-01-01
"2",19253.007,2014-01-02
"3",20159.935,2014-01-03
"4",21252.564,2014-01-04
"5",20674.761,2014-01-05
"6",20807.844,2014-01-06
"7",19947.473,2014-01-07
"8",22349.181,2014-01-08
"9",25280.268,2014-01-09
"10",25262.97,2014-01-10
"11",25872.009,2014-01-11
"12",24067.313,2014-01-12
"13",21584.667,2014-01-13
"14",23936.091,2014-01-14
"15",25802.479,2014-01-15
"16",26562.332,2014-01-16
"17",26734.812,2014-01-17
"18",27017.347,2014-01-18
"19",25498.818,2014-01-19
"20",23071.434,2014-01-20
"21",24389.668,2014-01-21
"22",26747.405,2014-01-22
"23",26758.44,2014-01-23
"24",26583.835,2014-01-24
"25",27243.746,2014-01-25
"26",25810.507,2014-01-26
"27",23140.136,2014-01-27
"28",24737.84,2014-01-28
"29",26690.169,2014-01-29
"30",27366.696,2014-01-30
"31",27918.962,2014-01-31
"32",27359.594,2014-02-01
"33",25220.084,2014-02-02
"34",23075.073,2014-02-03
"35",24898.786,2014-02-04
"36",26483.579,2014-02-05
"37",26824.035,2014-02-06
"38",26998.733,2014-02-07
"39",26802.636,2014-02-08
"40",25282.636,2014-02-09
"41",23191.777,2014-02-10
"42",24326.973,2014-02-11
"43",26368.43,2014-02-12
"44",27254.219,2014-02-13
"45",27208.566,2014-02-14
"46",28017.182,2014-02-15
"47",25438.118,2014-02-16
"48",22899.666,2014-02-17
"49",24370.257,2014-02-18
"50",26570.779,2014-02-19
"51",26717.551,2014-02-20
"52",26525.412,2014-02-21
"53",26388.384,2014-02-22
"54",25280.666,2014-02-23
"55",22448.245,2014-02-24
"56",23808.469,2014-02-25
"57",26408.816,2014-02-26
"58",27062.314,2014-02-27
"59",27122.463,2014-02-28
"60",26815.454,2014-03-01
"61",24352.211,2014-03-02
"62",22268.573,2014-03-03
"63",23901.949,2014-03-04
"64",26575.292,2014-03-05
"65",26507.784,2014-03-06
"66",26883.813,2014-03-07
"67",27073.099,2014-03-08
"68",25824.965,2014-03-09
"69",22725.7,2014-03-10
"70",24201.313,2014-03-11
"71",26089.034,2014-03-12
"72",26493.271,2014-03-13
"73",26990.75,2014-03-14
"74",26632.121,2014-03-15
"75",24810.967,2014-03-16
"76",21715.896,2014-03-17
"77",23903.353,2014-03-18
"78",26268.876,2014-03-19
"79",26896.027,2014-03-20
"80",26485.948,2014-03-21
"81",26326.326,2014-03-22
"82",25030.094,2014-03-23
"83",22080.517,2014-03-24
"84",24170.015,2014-03-25
"85",26018.068,2014-03-26
"86",26385.952,2014-03-27
"87",26482.959,2014-03-28
"88",26419.988,2014-03-29
"89",24643.938,2014-03-30
"90",21552.283,2014-03-31
"91",23378.795,2014-04-01
"92",25540.021,2014-04-02
"93",26039.104,2014-04-03
"94",26271.263,2014-04-04
"95",26773.377,2014-04-05
"96",24550.605,2014-04-06
"97",21883.306,2014-04-07
"98",23541.031,2014-04-08
"99",25511.397,2014-04-09
"100",26069.2,2014-04-10
"101",26007.7,2014-04-11
"102",25765.764,2014-04-12
"103",23935.176,2014-04-13
"104",21180.465,2014-04-14
"105",22709.722,2014-04-15
"106",25735.509,2014-04-16
"107",27353.533,2014-04-17
"108",27372.217,2014-04-18
"109",26481.409,2014-04-19
"110",23496.577,2014-04-20
"111",19588.795,2014-04-21
"112",19286.455,2014-04-22
"113",22012.519,2014-04-23
"114",23725.045,2014-04-24
"115",24154.747,2014-04-25
"116",21378.654,2014-04-26
"117",20642.712,2014-04-27
"118",19986.078,2014-04-28
"119",22247.573,2014-04-29
"120",24422.282,2014-04-30
"121",24709.287,2014-05-01
"122",20957.61,2014-05-02
"123",21808.909,2014-05-03
"124",22733.442,2014-05-04
"125",20757.546,2014-05-05
"126",22787.341,2014-05-06
"127",25428.763,2014-05-07
