Giorno,Mese,Anno,GradoFix,OraFix5
1,1,2015,5.0,01:00:00
1,1,2015,6.0,02:00:00
1,1,2015,6.0,03:00:00
1,1,2015,6.0,04:00:00
1,1,2015,7.0,05:00:00
1,1,2015,8.0,06:00:00
1,1,2015,8.0,07:00:00
1,1,2015,8.0,08:00:00
1,1,2015,8.0,09:00:00
1,1,2015,8.0,10:00:00
1,1,2015,8.0,11:00:00
1,1,2015,9.0,12:00:00
1,1,2015,9.0,13:00:00
1,1,2015,9.0,14:00:00
1,1,2015,10.0,15:00:00
1,1,2015,10.0,16:00:00
1,1,2015,10.0,17:00:00
1,1,2015,10.0,18:00:00
1,1,2015,11.0,19:00:00
1,1,2015,11.0,20:00:00
1,1,2015,12.0,21:00:00
1,1,2015,12.0,22:00:00
1,1,2015,12.0,23:00:00
1,1,2015,12.0,00:00:00
2,1,2015,13.0,01:00:00
2,1,2015,13.0,02:00:00
2,1,2015,13.0,03:00:00
2,1,2015,13.0,04:00:00
2,1,2015,12.0,05:00:00
2,1,2015,10.0,06:00:00
2,1,2015,10.0,07:00:00
2,1,2015,8.0,08:00:00
2,1,2015,8.0,09:00:00
2,1,2015,8.0,10:00:00
2,1,2015,8.0,11:00:00
2,1,2015,9.0,12:00:00
2,1,2015,9.0,13:00:00
2,1,2015,9.0,14:00:00
2,1,2015,8.0,15:00:00
2,1,2015,7.0,16:00:00
2,1,2015,6.0,17:00:00
2,1,2015,5.0,18:00:00
2,1,2015,4.0,19:00:00
2,1,2015,3.0,20:00:00
2,1,2015,4.0,21:00:00
2,1,2015,4.0,22:00:00
2,1,2015,4.0,23:00:00
2,1,2015,4.0,00:00:00
3,1,2015,4.0,01:00:00
3,1,2015,4.0,02:00:00
3,1,2015,5.0,03:00:00
3,1,2015,5.0,04:00:00
3,1,2015,5.0,05:00:00
3,1,2015,4.0,06:00:00
3,1,2015,4.0,07:00:00
3,1,2015,4.0,08:00:00
3,1,2015,5.0,09:00:00
3,1,2015,5.0,10:00:00
3,1,2015,5.0,11:00:00
3,1,2015,6.0,12:00:00
3,1,2015,6.0,13:00:00
3,1,2015,5.0,14:00:00
3,1,2015,5.0,15:00:00
3,1,2015,5.0,16:00:00
3,1,2015,4.0,17:00:00
3,1,2015,4.0,18:00:00
3,1,2015,2.0,19:00:00
3,1,2015,2.0,20:00:00
3,1,2015,1.0,21:00:00
3,1,2015,2.0,22:00:00
3,1,2015,2.0,23:00:00
3,1,2015,2.0,00:00:00
4,1,2015,0.0,01:00:00
4,1,2015,-2.0,02:00:00
4,1,2015,-2.0,03:00:00
4,1,2015,-1.0,04:00:00
4,1,2015,-2.0,05:00:00
4,1,2015,-2.0,06:00:00
4,1,2015,-1.0,07:00:00
4,1,2015,-2.0,08:00:00
4,1,2015,-1.0,09:00:00
4,1,2015,0.0,10:00:00
4,1,2015,1.0,11:00:00
4,1,2015,1.0,12:00:00
4,1,2015,2.0,13:00:00
4,1,2015,2.0,14:00:00
4,1,2015,3.0,15:00:00
4,1,2015,3.0,16:00:00
4,1,2015,3.0,17:00:00
4,1,2015,3.0,18:00:00
4,1,2015,3.0,19:00:00
4,1,2015,3.0,20:00:00
4,1,2015,3.0,21:00:00
4,1,2015,3.0,22:00:00
4,1,2015,3.0,23:00:00
4,1,2015,3.0,00:00:00
5,1,2015,3.0,01:00:00
5,1,2015,3.0,02:00:00
5,1,2015,3.0,03:00:00
5,1,2015,4.0,04:00:00
5,1,2015,4.0,05:00:00
5,1,2015,4.0,06:00:00
5,1,2015,4.0,07:00:00
5,1,2015,4.0,08:00:00
5,1,2015,6.0,09:00:00
5,1,2015,7.0,10:00:00
5,1,2015,8.0,10:18:00
5,1,2015,8.0,11:00:00
5,1,2015,9.0,12:00:00
5,1,2015,9.0,13:00:00
5,1,2015,10.0,14:00:00
5,1,2015,10.0,15:00:00
5,1,2015,9.0,16:00:00
5,1,2015,9.0,17:00:00
5,1,2015,9.0,18:00:00
5,1,2015,9.0,19:00:00
5,1,2015,9.0,20:00:00
5,1,2015,8.0,21:00:00
5,1,2015,8.0,22:00:00
5,1,2015,8.0,23:00:00
5,1,2015,8.0,00:00:00
6,1,2015,8.0,01:00:00
6,1,2015,8.0,02:00:00
6,1,2015,7.0,03:00:00
6,1,2015,8.0,04:00:00
6,1,2015,8.0,05:00:00
6,1,2015,8.0,06:00:00
6,1,2015,8.0,07:00:00
6,1,2015,8.0,08:00:00
6,1,2015,8.0,09:00:00
6,1,2015,9.0,10:00:00
6,1,2015,10.0,11:00:00
6,1,2015,10.0,12:00:00
6,1,2015,9.0,13:00:00
6,1,2015,8.0,14:00:00
6,1,2015,8.0,15:00:00
6,1,2015,7.0,16:00:00
6,1,2015,6.0,17:00:00
6,1,2015,5.0,18:00:00
6,1,2015,4.0,19:00:00
6,1,2015,4.0,20:00:00
6,1,2015,3.0,21:00:00
6,1,2015,3.0,22:00:00
6,1,2015,2.0,23:00:00
6,1,2015,1.0,00:00:00
7,1,2015,2.0,01:00:00
7,1,2015,1.0,02:00:00
7,1,2015,0.0,03:00:00
7,1,2015,-1.0,04:00:00
7,1,2015,-1.0,05:00:00
7,1,2015,-2.0,06:00:00
7,1,2015,-1.0,07:00:00
7,1,2015,2.0,08:00:00
7,1,2015,4.0,09:00:00
7,1,2015,6.0,10:00:00
7,1,2015,7.0,11:00:00
7,1,2015,8.0,12:00:00
7,1,2015,9.0,13:00:00
7,1,2015,9.0,14:00:00
7,1,2015,9.0,15:00:00
7,1,2015,9.0,16:00:00
7,1,2015,9.0,17:00:00
7,1,2015,9.0,18:00:00
7,1,2015,9.0,19:00:00
7,1,2015,9.0,20:00:00
7,1,2015,9.0,21:00:00
7,1,2015,10.0,22:00:00
7,1,2015,10.0,23:00:00
7,1,2015,10.0,00:00:00
8,1,2015,10.0,01:00:00
8,1,2015,11.0,02:00:00
8,1,2015,11.0,03:00:00
8,1,2015,11.0,04:00:00
8,1,2015,11.0,05:00:00
8,1,2015,10.0,06:00:00
8,1,2015,10.0,07:00:00
8,1,2015,9.0,08:00:00
8,1,2015,9.0,09:00:00
8,1,2015,8.0,10:00:00
8,1,2015,8.0,11:00:00
8,1,2015,8.0,12:00:00
8,1,2015,9.0,13:00:00
8,1,2015,9.0,14:00:00
8,1,2015,9.0,15:00:00
8,1,2015,8.0,16:00:00
8,1,2015,8.0,17:00:00
8,1,2015,8.0,18:00:00
8,1,2015,7.0,19:00:00
8,1,2015,7.0,20:00:00
8,1,2015,7.0,21:00:00
8,1,2015,7.0,22:00:00
8,1,2015,8.0,23:00:00
8,1,2015,9.0,00:00:00
9,1,2015,9.0,01:00:00
9,1,2015,9.0,02:00:00
9,1,2015,10.0,03:00:00
9,1,2015,10.0,04:00:00
9,1,2015,11.0,05:00:00
9,1,2015,11.0,06:00:00
9,1,2015,11.0,07:00:00
9,1,2015,11.0,08:00:00
9,1,2015,11.0,09:00:00
9,1,2015,11.0,10:00:00
9,1,2015,12.0,11:00:00
9,1,2015,12.0,12:00:00
9,1,2015,13.0,13:00:00
9,1,2015,13.0,14:00:00
9,1,2015,13.0,15:00:00
9,1,2015,12.0,16:00:00
9,1,2015,12.0,17:00:00
9,1,2015,14.0,18:00:00
9,1,2015,15.0,19:00:00
9,1,2015,15.0,20:00:00
9,1,2015,14.0,21:00:00
9,1,2015,14.0,22:00:00
9,1,2015,14.0,23:00:00
9,1,2015,14.0,00:00:00
10,1,2015,13.0,01:00:00
10,1,2015,13.0,02:00:00
10,1,2015,13.0,03:00:00
10,1,2015,12.0,04:00:00
10,1,2015,12.0,05:00:00
10,1,2015,12.0,06:00:00
10,1,2015,12.0,07:00:00
10,1,2015,13.0,08:00:00
10,1,2015,12.0,09:00:00
10,1,2015,13.0,10:00:00
10,1,2015,11.0,11:00:00
10,1,2015,11.0,12:00:00
10,1,2015,10.0,13:00:00
10,1,2015,9.0,14:00:00
10,1,2015,8.0,15:00:00
10,1,2015,7.0,16:00:00
10,1,2015,7.0,17:00:00
10,1,2015,6.0,18:00:00
10,1,2015,5.0,19:00:00
10,1,2015,5.0,20:00:00
10,1,2015,4.0,21:00:00
10,1,2015,4.0,22:00:00
10,1,2015,4.0,23:00:00
10,1,2015,3.0,00:00:00
11,1,2015,3.0,01:00:00
11,1,2015,3.0,02:00:00
11,1,2015,3.0,03:00:00
11,1,2015,3.0,04:00:00
11,1,2015,4.0,05:00:00
11,1,2015,3.0,06:00:00
11,1,2015,4.0,07:00:00
11,1,2015,3.0,08:00:00
11,1,2015,4.0,09:00:00
11,1,2015,5.0,10:00:00
11,1,2015,7.0,11:00:00
11,1,2015,7.0,12:00:00
11,1,2015,8.0,13:00:00
11,1,2015,9.0,14:00:00
11,1,2015,8.0,15:00:00
11,1,2015,8.0,16:00:00
11,1,2015,8.0,17:00:00
11,1,2015,8.0,18:00:00
11,1,2015,8.0,19:00:00
11,1,2015,8.0,20:00:00
11,1,2015,7.0,21:00:00
11,1,2015,8.0,22:00:00
11,1,2015,8.0,23:00:00
11,1,2015,8.0,00:00:00
12,1,2015,8.0,01:00:00
12,1,2015,9.0,02:00:00
12,1,2015,9.0,03:00:00
12,1,2015,9.0,04:00:00
12,1,2015,9.0,05:00:00
12,1,2015,9.0,06:00:00
12,1,2015,9.0,07:00:00
12,1,2015,10.0,08:00:00
12,1,2015,10.0,09:00:00
12,1,2015,11.0,10:00:00
12,1,2015,12.0,11:00:00
12,1,2015,12.0,12:00:00
12,1,2015,12.0,13:00:00
12,1,2015,12.0,14:00:00
12,1,2015,11.0,15:00:00
12,1,2015,11.0,16:00:00
12,1,2015,11.0,17:00:00
12,1,2015,11.0,18:00:00
12,1,2015,11.0,19:00:00
12,1,2015,11.0,20:00:00
12,1,2015,11.0,21:00:00
12,1,2015,11.0,22:00:00
12,1,2015,11.0,23:00:00
12,1,2015,11.0,00:00:00
13,1,2015,11.0,01:00:00
13,1,2015,11.0,02:00:00
13,1,2015,11.0,03:00:00
13,1,2015,10.0,04:00:00
13,1,2015,9.0,05:00:00
13,1,2015,9.0,06:00:00
13,1,2015,8.0,07:00:00
13,1,2015,7.0,08:00:00
13,1,2015,7.0,09:00:00
13,1,2015,8.0,10:00:00
13,1,2015,9.0,11:00:00
13,1,2015,10.0,12:00:00
13,1,2015,8.0,13:00:00
13,1,2015,8.0,13:09:00
13,1,2015,4.0,13:19:00
13,1,2015,7.0,14:00:00
13,1,2015,7.0,15:00:00
13,1,2015,7.0,16:00:00
13,1,2015,6.0,17:00:00
13,1,2015,6.0,18:00:00
13,1,2015,4.0,19:00:00
13,1,2015,4.0,20:00:00
13,1,2015,3.0,23:00:00
13,1,2015,3.0,00:00:00
14,1,2015,4.0,01:00:00
14,1,2015,4.0,02:00:00
14,1,2015,3.0,03:00:00
14,1,2015,3.0,04:00:00
14,1,2015,3.0,05:00:00
14,1,2015,4.0,06:00:00
14,1,2015,3.0,07:00:00
14,1,2015,3.0,08:00:00
14,1,2015,3.0,09:00:00
14,1,2015,3.0,10:00:00
14,1,2015,4.0,10:21:00
14,1,2015,4.0,11:00:00
14,1,2015,5.0,12:00:00
14,1,2015,6.0,13:00:00
14,1,2015,7.0,14:00:00
14,1,2015,6.0,15:00:00
14,1,2015,6.0,16:00:00
14,1,2015,6.0,17:00:00
14,1,2015,6.0,18:00:00
14,1,2015,6.0,19:00:00
14,1,2015,8.0,20:00:00
14,1,2015,9.0,21:00:00
14,1,2015,8.0,22:00:00
14,1,2015,9.0,23:00:00
14,1,2015,9.0,00:00:00
15,1,2015,10.0,01:00:00
15,1,2015,10.0,02:00:00
15,1,2015,11.0,03:00:00
15,1,2015,10.0,04:00:00
15,1,2015,9.0,05:00:00
15,1,2015,9.0,06:00:00
15,1,2015,9.0,07:00:00
15,1,2015,8.0,08:00:00
15,1,2015,8.0,09:00:00
15,1,2015,7.0,10:00:00
15,1,2015,7.0,11:00:00
15,1,2015,9.0,12:00:00
15,1,2015,9.0,13:00:00
15,1,2015,9.0,14:00:00
15,1,2015,9.0,15:00:00
15,1,2015,7.0,16:00:00
15,1,2015,7.0,17:00:00
15,1,2015,6.0,18:00:00
15,1,2015,6.0,19:00:00
15,1,2015,6.0,20:00:00
15,1,2015,5.0,21:00:00
15,1,2015,5.0,22:00:00
15,1,2015,5.0,23:00:00
15,1,2015,5.0,00:00:00
16,1,2015,6.0,01:00:00
16,1,2015,6.0,02:00:00
16,1,2015,5.0,03:00:00
16,1,2015,4.0,04:00:00
16,1,2015,5.0,05:00:00
16,1,2015,5.0,06:00:00
16,1,2015,6.0,07:00:00
16,1,2015,6.0,08:00:00
16,1,2015,6.0,09:00:00
16,1,2015,6.0,10:00:00
16,1,2015,5.0,11:00:00
16,1,2015,6.0,12:00:00
16,1,2015,6.0,13:00:00
16,1,2015,7.0,14:00:00
16,1,2015,7.0,15:00:00
16,1,2015,3.0,16:00:00
16,1,2015,2.0,17:00:00
16,1,2015,2.0,18:00:00
16,1,2015,2.0,19:00:00
16,1,2015,1.0,20:00:00
16,1,2015,0.0,21:00:00
16,1,2015,0.0,22:00:00
16,1,2015,-1.0,23:00:00
16,1,2015,-1.0,00:00:00
17,1,2015,-1.0,01:00:00
17,1,2015,-1.0,02:00:00
17,1,2015,-2.0,03:00:00
17,1,2015,-2.0,04:00:00
17,1,2015,-3.0,05:00:00
17,1,2015,-2.0,06:00:00
17,1,2015,-2.0,07:00:00
17,1,2015,-1.0,08:00:00
17,1,2015,1.0,09:00:00
17,1,2015,2.0,10:00:00
17,1,2015,1.0,11:00:00
17,1,2015,5.0,12:00:00
17,1,2015,6.0,13:00:00
17,1,2015,7.0,14:00:00
17,1,2015,6.0,15:00:00
17,1,2015,5.0,16:00:00
17,1,2015,4.0,17:00:00
17,1,2015,4.0,18:00:00
17,1,2015,4.0,19:00:00
17,1,2015,4.0,20:00:00
17,1,2015,4.0,21:00:00
17,1,2015,4.0,22:00:00
17,1,2015,4.0,23:00:00
17,1,2015,4.0,00:00:00
18,1,2015,4.0,01:00:00
18,1,2015,4.0,02:00:00
