DateYYYYMMDD,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
20120101,33154.5,32427.6,31971.2,31505.4,31433.4,31667.9,32244.3,33043.6,33901.3,34468.7,35247.2,35616.1,35705.8,35749.9,36110.9,36681.1,37505,38425.6,39418.8,38729.8,36523.3,35458.2,34262.8,32985.1
20120102,31703.1,31222.9,31016.7,30947.1,31534.1,33133.2,36357.1,40963.3,43360.7,43982.9,44328.4,44318.8,43736,43513.1,43639.3,44124,44631.1,44641.6,43837.6,42813.8,41453.9,40085.2,38347.2,34660.2
20120103,32029.6,31372.7,31398.1,31289.6,31828.1,32908.1,38262.4,41785.9,42898.9,42766.4,42888.2,42578.3,42409.5,42400.6,42651.5,43447.8,44010.6,44161.3,43430,42409.1,41140.8,37786.9,36058.8,34089.3
20120104,32707,31992.5,31533,31474.6,31949.4,33719.5,36500.2,41644.2,43430.8,43530.1,43446.3,43187.9,43150.4,43019.9,43279.9,43948.7,44668.8,44832,44199.5,43227.3,41987.4,40032.4,37648.7,34723.1
20120105,33501.9,32692.8,32385.2,32579.6,33114.3,34801.8,38019,42628,44785.5,44745.1,44968.6,44747,44481.7,44361.4,44538.2,45381.2,46065.3,46205.2,45347.5,44093.8,42678.8,39980.4,37309.1,35623.2
20120106,33722.3,33279.9,32796.4,32922.8,33259.8,34090.2,35783.5,39273.6,41747.3,42707.2,43487.7,43626.1,43509.8,43577.1,43678,44650,45893.8,46451.2,45975.9,44582.5,43126.1,41651.3,40326.8,38563
20120107,36669.9,33782.9,32805.4,33343.7,33462,33966.7,35304.3,36680.7,40114,41998.7,42819.6,42931.4,42743.8,42371.6,42968.7,43895.5,44853.1,46040,45395.3,43933.8,42192.8,39593.3,38641.7,36425.3
20120108,33971.5,33138.2,32628.9,32542.5,32523.6,32923.4,33810.9,35234.9,36505.9,37620.3,39661.3,41731.2,42119.2,42006.5,40500.6,40830.4,43946.3,45869.3,45790,45141.6,44072.3,42572.8,41450.8,39215
20120109,37328.8,35858.5,34896.2,34525.6,35251.6,37674.5,42919.3,46139.1,47400.6,47177.6,47073.3,47100.4,47111.7,47067.6,47106.3,47349.5,47614.8,47865.2,48071.9,48003.1,46711.7,45257.5,42552.7,40121.8
20120110,36420.3,35423,34574,34243,34852.7,38615.1,42685.6,45614,46071.3,46440.6,46745.8,46973.2,46203.9,45805.5,45765.8,46255,47055.9,47708.1,47913.2,46491.2,44935.3,43304.6,41161.9,39177.3
20120111,36089,34900.2,34181.1,33153.9,33587,37444.9,41485.1,45311.7,45927.4,45868.9,45553.2,45637.9,45375.7,45283.2,45516.1,46132.2,46807.1,46970.8,46658.5,45454.6,43858.2,42126.4,39915,37839.5
20120112,35186.8,34260.8,33723,33294.3,33458.7,36568.6,40518.5,44695.5,45479.1,45304.6,44902,44998.9,44608,44485,44722.4,45481.9,46468.6,46821.2,46199.6,44806,43361.2,41895.9,40061.1,37589.6
20120113,33851.7,32645,32378,32375.3,33002.5,34693.3,40130.4,44944.1,45919.3,45527.4,45238.3,44770.2,44319.3,43722.6,43546.5,44051.3,45149.4,45723.5,44791.4,43370.9,41990.1,40666.3,38804.9,36214.2
20120114,34241.8,33025.3,32436.2,33056.6,33113.7,33830.3,34663.3,37255.2,39984.1,41237.5,41978.6,42157.3,41938.9,42087.6,42243.4,43114,44816.9,46044,45447,44265.8,42692,41440.6,40289.1,38842.8
20120115,37059.8,36235.2,35658.9,35490.2,34169.3,35625.4,35813.1,38248.6,39597.1,40766.9,41954.6,42380.2,42368.8,42238.6,42469.9,43066.5,44181.1,45751.9,45581.3,44528.1,43372.7,42222.1,40601.8,38746.2
20120116,36574.5,35943.9,35725.7,35923.9,35319.8,38148.6,42073.7,46171,47458.5,47354.6,47046.9,47108.5,46544,46516.7,46469,46716.3,47145.5,48152.4,47607.1,46514.4,44749.3,43208,41031.4,38707.5
20120117,36847.4,35842.1,35471.9,35742.7,36658.3,39154.3,42983.2,46076.3,47224.2,47009.8,46851,46777.8,46018.5,46032,46025.7,46317.6,47040,47649,47517.4,46418.6,44913.8,43391.8,40970.1,38555.6
20120118,36842.1,36006.1,35552.7,35788.1,36629.1,39211.1,42898.3,46684.7,47487.8,47129.9,46925.1,46872,46416.9,46206.5,46228.1,46650.6,47371.7,47782.1,47258.3,45761.2,43746.4,42270.6,39787.8,37750.1
20120119,35726.1,34331.1,34104.6,34357.7,35729.9,37883.7,42547.4,46501.9,47750.1,47609.7,47069,46882.3,46584.6,46343.2,46517.3,47026.4,47830.6,48446.5,47866.6,46519.3,44731.7,43390.4,40834.7,38726.9
20120120,35225.2,34131.1,34075.4,34497.9,35049.4,37265.8,42569.9,47094.9,48001.2,48117.9,47675.9,47563.3,47037.3,46393.4,46177.6,46566.4,47522.2,48147.1,47595.3,46146.4,44365.3,43260.2,41289.2,39473.1
20120121,37657.4,36585.5,36248.1,36112.6,35804,35873.4,36701.9,39939.7,41381.7,42532.6,43106.4,43111,42760.6,42461.8,41841.6,41736.6,43595.5,45791.4,45104.1,43599.6,42157.7,39985.4,38367.5,36286.4
20120122,34811.3,34218.4,33942.9,33737.7,33811.2,34085.7,34854.6,36195.8,37143.4,37751.4,38622.1,39023.4,39040,38952.7,39098.6,40077.8,41624.2,44152.3,45205.1,44283.3,43143.3,41702.3,40143.3,37882.6
20120123,34955.8,34305.2,34262.5,34698.6,35341.8,37266.9,42993.2,47144.1,47608.5,47929.1,48189.6,47987.5,47555.6,47454.2,47441.7,47722,47589.6,48066.6,48544.9,48414,47273.4,45543.1,43739.5,41259.7
20120124,38030.1,36740.3,36653.6,36726.8,37433.8,39747.5,44222,47952.3,48349.6,48929.6,48899,48870,48155.1,48160.1,48059.3,47982.9,48416.5,48838.9,49171.9,48692.2,47180.3,45790.3,43645.2,41114.1
