"","anno","mese","giorno","ora","prezzo","date.x","dateTime.x","consumo","GradoFix"
"1","2012","01","01","01:00:00",29.46,"2012-01-01","2012-01-01 01:00:00",33154.5,-9
"2","2012","01","01","02:00:00",28.64,"2012-01-01","2012-01-01 02:00:00",32427.6,-9
"3","2012","01","01","03:00:00",27.72,"2012-01-01","2012-01-01 03:00:00",31971.2,-9
"4","2012","01","01","04:00:00",27.79,"2012-01-01","2012-01-01 04:00:00",31505.4,-9
"5","2012","01","01","05:00:00",28.87,"2012-01-01","2012-01-01 05:00:00",31433.4,-8
"6","2012","01","01","06:00:00",30.15,"2012-01-01","2012-01-01 06:00:00",31667.9,-7
"7","2012","01","01","07:00:00",32.02,"2012-01-01","2012-01-01 07:00:00",32244.3,-6
"8","2012","01","01","08:00:00",34.65,"2012-01-01","2012-01-01 08:00:00",33043.6,-4
"9","2012","01","01","09:00:00",36.35,"2012-01-01","2012-01-01 09:00:00",33901.3,-3
"10","2012","01","01","10:00:00",36.82,"2012-01-01","2012-01-01 10:00:00",34468.7,-2
"11","2012","01","01","11:00:00",37.34,"2012-01-01","2012-01-01 11:00:00",35247.2,0
"12","2012","01","01","12:00:00",37.25,"2012-01-01","2012-01-01 12:00:00",35616.1,1
"13","2012","01","01","13:00:00",35.93,"2012-01-01","2012-01-01 13:00:00",35705.8,1
"14","2012","01","01","14:00:00",35.57,"2012-01-01","2012-01-01 14:00:00",35749.9,1
"15","2012","01","01","15:00:00",35.92,"2012-01-01","2012-01-01 15:00:00",36110.9,2
"16","2012","01","01","16:00:00",36.49,"2012-01-01","2012-01-01 16:00:00",36681.1,2
"17","2012","01","01","17:00:00",36.79,"2012-01-01","2012-01-01 17:00:00",37505,1
"18","2012","01","01","18:00:00",36.91,"2012-01-01","2012-01-01 18:00:00",38425.6,2
"19","2012","01","01","19:00:00",35.66,"2012-01-01","2012-01-01 19:00:00",39418.8,2
"20","2012","01","01","20:00:00",34.95,"2012-01-01","2012-01-01 20:00:00",38729.8,2
"21","2012","01","01","21:00:00",34.06,"2012-01-01","2012-01-01 21:00:00",36523.3,3
"22","2012","01","01","22:00:00",33.34,"2012-01-01","2012-01-01 22:00:00",35458.2,3
"23","2012","01","01","23:00:00",32.07,"2012-01-01","2012-01-01 23:00:00",34262.8,3
"24","2012","01","01","00:00:00",29.49,"2012-01-01","2012-01-02 00:00:00",32985.1,3
"25","2012","01","02","01:00:00",29.46,"2012-01-02","2012-01-02 01:00:00",31703.1,3
"26","2012","01","02","02:00:00",28.64,"2012-01-02","2012-01-02 02:00:00",31222.9,3
"27","2012","01","02","03:00:00",27.72,"2012-01-02","2012-01-02 03:00:00",31016.7,4
"28","2012","01","02","04:00:00",27.79,"2012-01-02","2012-01-02 04:00:00",30947.1,4
"29","2012","01","02","05:00:00",28.87,"2012-01-02","2012-01-02 05:00:00",31534.1,4
"30","2012","01","02","06:00:00",30.15,"2012-01-02","2012-01-02 06:00:00",33133.2,4
"31","2012","01","02","07:00:00",32.02,"2012-01-02","2012-01-02 07:00:00",36357.1,4
"32","2012","01","02","08:00:00",34.65,"2012-01-02","2012-01-02 08:00:00",40963.3,5
"33","2012","01","02","09:00:00",36.35,"2012-01-02","2012-01-02 09:00:00",43360.7,5
"34","2012","01","02","10:00:00",36.82,"2012-01-02","2012-01-02 10:00:00",43982.9,5
"35","2012","01","02","11:00:00",37.34,"2012-01-02","2012-01-02 11:00:00",44328.4,6
"36","2012","01","02","12:00:00",37.25,"2012-01-02","2012-01-02 12:00:00",44318.8,6
"37","2012","01","02","13:00:00",35.93,"2012-01-02","2012-01-02 13:00:00",43736,6
"38","2012","01","02","14:00:00",35.57,"2012-01-02","2012-01-02 14:00:00",43513.1,5
"39","2012","01","02","15:00:00",35.92,"2012-01-02","2012-01-02 15:00:00",43639.3,5
"40","2012","01","02","16:00:00",36.49,"2012-01-02","2012-01-02 16:00:00",44124,5
"41","2012","01","02","17:00:00",36.79,"2012-01-02","2012-01-02 17:00:00",44631.1,5
"42","2012","01","02","18:00:00",36.91,"2012-01-02","2012-01-02 18:00:00",44641.6,5
"43","2012","01","02","19:00:00",35.66,"2012-01-02","2012-01-02 19:00:00",43837.6,4
"44","2012","01","02","20:00:00",34.95,"2012-01-02","2012-01-02 20:00:00",42813.8,4
"45","2012","01","02","21:00:00",34.06,"2012-01-02","2012-01-02 21:00:00",41453.9,4
"46","2012","01","02","22:00:00",33.34,"2012-01-02","2012-01-02 22:00:00",40085.2,3
"47","2012","01","02","23:00:00",32.07,"2012-01-02","2012-01-02 23:00:00",38347.2,3
"48","2012","01","02","00:00:00",29.49,"2012-01-02","2012-01-03 00:00:00",34660.2,3
"49","2012","01","03","01:00:00",29,"2012-01-03","2012-01-03 01:00:00",32029.6,2
"50","2012","01","03","02:00:00",25.54,"2012-01-03","2012-01-03 02:00:00",31372.7,2
"51","2012","01","03","03:00:00",22.95,"2012-01-03","2012-01-03 03:00:00",31398.1,2
"52","2012","01","03","04:00:00",22.93,"2012-01-03","2012-01-03 04:00:00",31289.6,3
"53","2012","01","03","05:00:00",24.5,"2012-01-03","2012-01-03 05:00:00",31828.1,3
"54","2012","01","03","06:00:00",28.92,"2012-01-03","2012-01-03 06:00:00",32908.1,2
"55","2012","01","03","07:00:00",32.25,"2012-01-03","2012-01-03 07:00:00",38262.4,3
"56","2012","01","03","08:00:00",33.37,"2012-01-03","2012-01-03 08:00:00",41785.9,3
"57","2012","01","03","09:00:00",33.7,"2012-01-03","2012-01-03 09:00:00",42898.9,2
"58","2012","01","03","10:00:00",33.47,"2012-01-03","2012-01-03 10:00:00",42766.4,3
"59","2012","01","03","11:00:00",33.46,"2012-01-03","2012-01-03 11:00:00",42888.2,3
"60","2012","01","03","12:00:00",33.38,"2012-01-03","2012-01-03 12:00:00",42578.3,3
"61","2012","01","03","13:00:00",33.41,"2012-01-03","2012-01-03 13:00:00",42409.5,3
"62","2012","01","03","14:00:00",33.45,"2012-01-03","2012-01-03 14:00:00",42400.6,3
"63","2012","01","03","15:00:00",33.44,"2012-01-03","2012-01-03 15:00:00",42651.5,3
"64","2012","01","03","16:00:00",33.73,"2012-01-03","2012-01-03 16:00:00",43447.8,2
"65","2012","01","03","17:00:00",33.96,"2012-01-03","2012-01-03 17:00:00",44010.6,2
"66","2012","01","03","18:00:00",33.8,"2012-01-03","2012-01-03 18:00:00",44161.3,3
"67","2012","01","03","19:00:00",33.6,"2012-01-03","2012-01-03 19:00:00",43430,4
"68","2012","01","03","20:00:00",33.06,"2012-01-03","2012-01-03 20:00:00",42409.1,4
"69","2012","01","03","21:00:00",32.27,"2012-01-03","2012-01-03 21:00:00",41140.8,4
"70","2012","01","03","22:00:00",30.52,"2012-01-03","2012-01-03 22:00:00",37786.9,3
"71","2012","01","03","23:00:00",28.84,"2012-01-03","2012-01-03 23:00:00",36058.8,3
"72","2012","01","03","00:00:00",25.93,"2012-01-03","2012-01-04 00:00:00",34089.3,2
"73","2012","01","04","01:00:00",25.06,"2012-01-04","2012-01-04 01:00:00",32707,1
"74","2012","01","04","02:00:00",22.43,"2012-01-04","2012-01-04 02:00:00",31992.5,2
"75","2012","01","04","03:00:00",22.16,"2012-01-04","2012-01-04 03:00:00",31533,3
"76","2012","01","04","04:00:00",22.5,"2012-01-04","2012-01-04 04:00:00",31474.6,3
"77","2012","01","04","05:00:00",24.43,"2012-01-04","2012-01-04 05:00:00",31949.4,4
"78","2012","01","04","06:00:00",25.77,"2012-01-04","2012-01-04 06:00:00",33719.5,4
"79","2012","01","04","07:00:00",28.53,"2012-01-04","2012-01-04 07:00:00",36500.2,4
"80","2012","01","04","08:00:00",31.95,"2012-01-04","2012-01-04 08:00:00",41644.2,4
"81","2012","01","04","09:00:00",32.87,"2012-01-04","2012-01-04 09:00:00",43430.8,4
"82","2012","01","04","10:00:00",32.8,"2012-01-04","2012-01-04 10:00:00",43530.1,4
"83","2012","01","04","11:00:00",33.14,"2012-01-04","2012-01-04 11:00:00",43446.3,4
"84","2012","01","04","12:00:00",33.21,"2012-01-04","2012-01-04 12:00:00",43187.9,3
"85","2012","01","04","13:00:00",33.06,"2012-01-04","2012-01-04 13:00:00",43150.4,3
"86","2012","01","04","14:00:00",33.08,"2012-01-04","2012-01-04 14:00:00",43019.9,2
"87","2012","01","04","15:00:00",33.35,"2012-01-04","2012-01-04 15:00:00",43279.9,3
"88","2012","01","04","16:00:00",33.62,"2012-01-04","2012-01-04 16:00:00",43948.7,3
"89","2012","01","04","17:00:00",33.92,"2012-01-04","2012-01-04 17:00:00",44668.8,3
"90","2012","01","04","18:00:00",33.98,"2012-01-04","2012-01-04 18:00:00",44832,3
"91","2012","01","04","19:00:00",33.77,"2012-01-04","2012-01-04 19:00:00",44199.5,3
"92","2012","01","04","20:00:00",33.3,"2012-01-04","2012-01-04 20:00:00",43227.3,3
"93","2012","01","04","21:00:00",32.55,"2012-01-04","2012-01-04 21:00:00",41987.4,2
"94","2012","01","04","22:00:00",31.54,"2012-01-04","2012-01-04 22:00:00",40032.4,2
"95","2012","01","04","23:00:00",30.57,"2012-01-04","2012-01-04 23:00:00",37648.7,2
"96","2012","01","04","00:00:00",27.12,"2012-01-04","2012-01-05 00:00:00",34723.1,2
"97","2012","01","05","01:00:00",27.91,"2012-01-05","2012-01-05 01:00:00",33501.9,2
"98","2012","01","05","02:00:00",26.63,"2012-01-05","2012-01-05 02:00:00",32692.8,2
"99","2012","01","05","03:00:00",26.13,"2012-01-05","2012-01-05 03:00:00",32385.2,1
"100","2012","01","05","04:00:00",26.08,"2012-01-05","2012-01-05 04:00:00",32579.6,1
"101","2012","01","05","05:00:00",27.28,"2012-01-05","2012-01-05 05:00:00",33114.3,0
"102","2012","01","05","06:00:00",28.73,"2012-01-05","2012-01-05 06:00:00",34801.8,0
"103","2012","01","05","07:00:00",30.61,"2012-01-05","2012-01-05 07:00:00",38019,-2
"104","2012","01","05","08:00:00",33.66,"2012-01-05","2012-01-05 08:00:00",42628,-1
"105","2012","01","05","09:00:00",35.11,"2012-01-05","2012-01-05 09:00:00",44785.5,-2
"106","2012","01","05","10:00:00",35.16,"2012-01-05","2012-01-05 10:00:00",44745.1,-2
"107","2012","01","05","11:00:00",35.42,"2012-01-05","2012-01-05 11:00:00",44968.6,-1
"108","2012","01","05","12:00:00",35.27,"2012-01-05","2012-01-05 12:00:00",44747,-1
"109","2012","01","05","13:00:00",34.99,"2012-01-05","2012-01-05 13:00:00",44481.7,0
"110","2012","01","05","14:00:00",34.83,"2012-01-05","2012-01-05 14:00:00",44361.4,-2
"111","2012","01","05","15:00:00",35.1,"2012-01-05","2012-01-05 15:00:00",44538.2,0
"112","2012","01","05","16:00:00",35.61,"2012-01-05","2012-01-05 16:00:00",45381.2,0
"113","2012","01","05","17:00:00",36.3,"2012-01-05","2012-01-05 17:00:00",46065.3,-1
"114","2012","01","05","18:00:00",36.5,"2012-01-05","2012-01-05 18:00:00",46205.2,-1
"115","2012","01","05","19:00:00",35.18,"2012-01-05","2012-01-05 19:00:00",45347.5,-2
"116","2012","01","05","20:00:00",34,"2012-01-05","2012-01-05 20:00:00",44093.8,-1
"117","2012","01","05","21:00:00",33.08,"2012-01-05","2012-01-05 21:00:00",42678.8,0
"118","2012","01","05","22:00:00",31.37,"2012-01-05","2012-01-05 22:00:00",39980.4,-2
"119","2012","01","05","23:00:00",29.56,"2012-01-05","2012-01-05 23:00:00",37309.1,1
"120","2012","01","05","00:00:00",28.58,"2012-01-05","2012-01-06 00:00:00",35623.2,1
"121","2012","01","06","01:00:00",28.79,"2012-01-06","2012-01-06 01:00:00",33722.3,1
"122","2012","01","06","02:00:00",27.82,"2012-01-06","2012-01-06 02:00:00",33279.9,0
"123","2012","01","06","03:00:00",26.64,"2012-01-06","2012-01-06 03:00:00",32796.4,-1
"124","2012","01","06","04:00:00",26.38,"2012-01-06","2012-01-06 04:00:00",32922.8,-1
"125","2012","01","06","05:00:00",26.77,"2012-01-06","2012-01-06 05:00:00",33259.8,-1
"126","2012","01","06","06:00:00",27.82,"2012-01-06","2012-01-06 06:00:00",34090.2,-2
"127","2012","01","06","07:00:00",28.79,"2012-01-06","2012-01-06 07:00:00",35783.5,-2
"128","2012","01","06","08:00:00",31.28,"2012-01-06","2012-01-06 08:00:00",39273.6,-3
"129","2012","01","06","09:00:00",32.94,"2012-01-06","2012-01-06 09:00:00",41747.3,-3
"130","2012","01","06","10:00:00",34.13,"2012-01-06","2012-01-06 10:00:00",42707.2,-4
"131","2012","01","06","11:00:00",34.68,"2012-01-06","2012-01-06 11:00:00",43487.7,-3
"132","2012","01","06","12:00:00",34.89,"2012-01-06","2012-01-06 12:00:00",43626.1,-3
"133","2012","01","06","13:00:00",34.92,"2012-01-06","2012-01-06 13:00:00",43509.8,-3
"134","2012","01","06","14:00:00",35.03,"2012-01-06","2012-01-06 14:00:00",43577.1,-3
"135","2012","01","06","15:00:00",35,"2012-01-06","2012-01-06 15:00:00",43678,-3
"136","2012","01","06","16:00:00",35.18,"2012-01-06","2012-01-06 16:00:00",44650,-3
"137","2012","01","06","17:00:00",36.64,"2012-01-06","2012-01-06 17:00:00",45893.8,-2
"138","2012","01","06","18:00:00",38.13,"2012-01-06","2012-01-06 18:00:00",46451.2,-2
"139","2012","01","06","19:00:00",37.07,"2012-01-06","2012-01-06 19:00:00",45975.9,-2
"140","2012","01","06","20:00:00",35.32,"2012-01-06","2012-01-06 20:00:00",44582.5,-2
"141","2012","01","06","21:00:00",34.42,"2012-01-06","2012-01-06 21:00:00",43126.1,-1
"142","2012","01","06","22:00:00",33.52,"2012-01-06","2012-01-06 22:00:00",41651.3,-1
"143","2012","01","06","23:00:00",32.44,"2012-01-06","2012-01-06 23:00:00",40326.8,0
"144","2012","01","06","00:00:00",31.33,"2012-01-06","2012-01-07 00:00:00",38563,0
"145","2012","01","07","01:00:00",32.92,"2012-01-07","2012-01-07 01:00:00",36669.9,0
"146","2012","01","07","02:00:00",30.52,"2012-01-07","2012-01-07 02:00:00",33782.9,-1
"147","2012","01","07","03:00:00",28.67,"2012-01-07","2012-01-07 03:00:00",32805.4,-2
"148","2012","01","07","04:00:00",27.88,"2012-01-07","2012-01-07 04:00:00",33343.7,-2
"149","2012","01","07","05:00:00",28.1,"2012-01-07","2012-01-07 05:00:00",33462,-3
"150","2012","01","07","06:00:00",28.29,"2012-01-07","2012-01-07 06:00:00",33966.7,-3
"151","2012","01","07","07:00:00",28.36,"2012-01-07","2012-01-07 07:00:00",35304.3,-4
"152","2012","01","07","08:00:00",29.35,"2012-01-07","2012-01-07 08:00:00",36680.7,-4
"153","2012","01","07","09:00:00",32.27,"2012-01-07","2012-01-07 09:00:00",40114,-4
"154","2012","01","07","10:00:00",33.45,"2012-01-07","2012-01-07 10:00:00",41998.7,-3
"155","2012","01","07","11:00:00",33.84,"2012-01-07","2012-01-07 11:00:00",42819.6,-4
"156","2012","01","07","12:00:00",33.73,"2012-01-07","2012-01-07 12:00:00",42931.4,-4
"157","2012","01","07","13:00:00",33.31,"2012-01-07","2012-01-07 13:00:00",42743.8,-2
"158","2012","01","07","14:00:00",32.96,"2012-01-07","2012-01-07 14:00:00",42371.6,-4
"159","2012","01","07","15:00:00",33.41,"2012-01-07","2012-01-07 15:00:00",42968.7,-5
"160","2012","01","07","16:00:00",34.16,"2012-01-07","2012-01-07 16:00:00",43895.5,-6
"161","2012","01","07","17:00:00",35.06,"2012-01-07","2012-01-07 17:00:00",44853.1,-6
"162","2012","01","07","18:00:00",36.77,"2012-01-07","2012-01-07 18:00:00",46040,-6
"163","2012","01","07","19:00:00",35.95,"2012-01-07","2012-01-07 19:00:00",45395.3,-6
"164","2012","01","07","20:00:00",34.74,"2012-01-07","2012-01-07 20:00:00",43933.8,-6
"165","2012","01","07","21:00:00",33.78,"2012-01-07","2012-01-07 21:00:00",42192.8,-7
"166","2012","01","07","22:00:00",32.1,"2012-01-07","2012-01-07 22:00:00",39593.3,-8
"167","2012","01","07","23:00:00",31.52,"2012-01-07","2012-01-07 23:00:00",38641.7,-8
"168","2012","01","07","00:00:00",29.27,"2012-01-07","2012-01-08 00:00:00",36425.3,-7
"169","2012","01","08","01:00:00",29.79,"2012-01-08","2012-01-08 01:00:00",33971.5,-7
"170","2012","01","08","02:00:00",28.71,"2012-01-08","2012-01-08 02:00:00",33138.2,-6
"171","2012","01","08","03:00:00",28.31,"2012-01-08","2012-01-08 03:00:00",32628.9,-6
"172","2012","01","08","04:00:00",28.2,"2012-01-08","2012-01-08 04:00:00",32542.5,-6
"173","2012","01","08","05:00:00",28.28,"2012-01-08","2012-01-08 05:00:00",32523.6,-5
"174","2012","01","08","06:00:00",28.29,"2012-01-08","2012-01-08 06:00:00",32923.4,-5
"175","2012","01","08","07:00:00",28.32,"2012-01-08","2012-01-08 07:00:00",33810.9,-2
"176","2012","01","08","08:00:00",28.7,"2012-01-08","2012-01-08 08:00:00",35234.9,-2
"177","2012","01","08","09:00:00",29.59,"2012-01-08","2012-01-08 09:00:00",36505.9,-3
"178","2012","01","08","10:00:00",30.39,"2012-01-08","2012-01-08 10:00:00",37620.3,-3
"179","2012","01","08","11:00:00",32.97,"2012-01-08","2012-01-08 11:00:00",39661.3,-2
"180","2012","01","08","12:00:00",34.44,"2012-01-08","2012-01-08 12:00:00",41731.2,-2
"181","2012","01","08","13:00:00",34.57,"2012-01-08","2012-01-08 13:00:00",42119.2,-1
"182","2012","01","08","14:00:00",34.48,"2012-01-08","2012-01-08 14:00:00",42006.5,-1
"183","2012","01","08","15:00:00",33.31,"2012-01-08","2012-01-08 15:00:00",40500.6,-2
"184","2012","01","08","16:00:00",33.33,"2012-01-08","2012-01-08 16:00:00",40830.4,-1
"185","2012","01","08","17:00:00",35.61,"2012-01-08","2012-01-08 17:00:00",43946.3,-2
"186","2012","01","08","18:00:00",41,"2012-01-08","2012-01-08 18:00:00",45869.3,-2
"187","2012","01","08","19:00:00",40.07,"2012-01-08","2012-01-08 19:00:00",45790,-3
"188","2012","01","08","20:00:00",38.55,"2012-01-08","2012-01-08 20:00:00",45141.6,-3
"189","2012","01","08","21:00:00",36.74,"2012-01-08","2012-01-08 21:00:00",44072.3,-4
"190","2012","01","08","22:00:00",35.35,"2012-01-08","2012-01-08 22:00:00",42572.8,-4
"191","2012","01","08","23:00:00",34.88,"2012-01-08","2012-01-08 23:00:00",41450.8,-5
"192","2012","01","08","00:00:00",34,"2012-01-08","2012-01-09 00:00:00",39215,-5
"193","2012","01","09","01:00:00",34.46,"2012-01-09","2012-01-09 01:00:00",37328.8,-6
"194","2012","01","09","02:00:00",33.45,"2012-01-09","2012-01-09 02:00:00",35858.5,-5
"195","2012","01","09","03:00:00",32.75,"2012-01-09","2012-01-09 03:00:00",34896.2,-4
"196","2012","01","09","04:00:00",32.47,"2012-01-09","2012-01-09 04:00:00",34525.6,-5
"197","2012","01","09","05:00:00",32.51,"2012-01-09","2012-01-09 05:00:00",35251.6,-6
"198","2012","01","09","06:00:00",34.28,"2012-01-09","2012-01-09 06:00:00",37674.5,-7
"199","2012","01","09","07:00:00",35.97,"2012-01-09","2012-01-09 07:00:00",42919.3,-8
"200","2012","01","09","08:00:00",46.65,"2012-01-09","2012-01-09 08:00:00",46139.1,-7
"201","2012","01","09","09:00:00",64.4,"2012-01-09","2012-01-09 09:00:00",47400.6,-7
"202","2012","01","09","10:00:00",59.87,"2012-01-09","2012-01-09 10:00:00",47177.6,-7
"203","2012","01","09","11:00:00",59.48,"2012-01-09","2012-01-09 11:00:00",47073.3,-6
"204","2012","01","09","12:00:00",56.24,"2012-01-09","2012-01-09 12:00:00",47100.4,-6
"205","2012","01","09","13:00:00",55.56,"2012-01-09","2012-01-09 13:00:00",47111.7,-6
"206","2012","01","09","14:00:00",53.37,"2012-01-09","2012-01-09 14:00:00",47067.6,-6
"207","2012","01","09","15:00:00",47.12,"2012-01-09","2012-01-09 15:00:00",47106.3,-7
"208","2012","01","09","16:00:00",47.62,"2012-01-09","2012-01-09 16:00:00",47349.5,-6
"209","2012","01","09","17:00:00",51.69,"2012-01-09","2012-01-09 17:00:00",47614.8,-7
"210","2012","01","09","18:00:00",53.52,"2012-01-09","2012-01-09 18:00:00",47865.2,-7
"211","2012","01","09","19:00:00",59.58,"2012-01-09","2012-01-09 19:00:00",48071.9,-6
"212","2012","01","09","20:00:00",49.91,"2012-01-09","2012-01-09 20:00:00",48003.1,-6
"213","2012","01","09","21:00:00",40.34,"2012-01-09","2012-01-09 21:00:00",46711.7,-6
"214","2012","01","09","22:00:00",36.12,"2012-01-09","2012-01-09 22:00:00",45257.5,-5
"215","2012","01","09","23:00:00",34.28,"2012-01-09","2012-01-09 23:00:00",42552.7,-5
"216","2012","01","09","00:00:00",33.04,"2012-01-09","2012-01-10 00:00:00",40121.8,-5
"217","2012","01","10","01:00:00",31.85,"2012-01-10","2012-01-10 01:00:00",36420.3,-4
"218","2012","01","10","02:00:00",31.21,"2012-01-10","2012-01-10 02:00:00",35423,-4
"219","2012","01","10","03:00:00",30.91,"2012-01-10","2012-01-10 03:00:00",34574,-4
"220","2012","01","10","04:00:00",29.3,"2012-01-10","2012-01-10 04:00:00",34243,-4
"221","2012","01","10","05:00:00",30.76,"2012-01-10","2012-01-10 05:00:00",34852.7,-3
"222","2012","01","10","06:00:00",34.31,"2012-01-10","2012-01-10 06:00:00",38615.1,-4
"223","2012","01","10","07:00:00",35.93,"2012-01-10","2012-01-10 07:00:00",42685.6,-2
"224","2012","01","10","08:00:00",43.39,"2012-01-10","2012-01-10 08:00:00",45614,-3
"225","2012","01","10","09:00:00",50.4,"2012-01-10","2012-01-10 09:00:00",46071.3,-3
"226","2012","01","10","10:00:00",48.45,"2012-01-10","2012-01-10 10:00:00",46440.6,-3
"227","2012","01","10","11:00:00",48.09,"2012-01-10","2012-01-10 11:00:00",46745.8,-3
"228","2012","01","10","12:00:00",48.45,"2012-01-10","2012-01-10 12:00:00",46973.2,-3
"229","2012","01","10","13:00:00",48.1,"2012-01-10","2012-01-10 13:00:00",46203.9,-2
"230","2012","01","10","14:00:00",48.44,"2012-01-10","2012-01-10 14:00:00",45805.5,-2
"231","2012","01","10","15:00:00",46.12,"2012-01-10","2012-01-10 15:00:00",45765.8,-2
"232","2012","01","10","16:00:00",45.64,"2012-01-10","2012-01-10 16:00:00",46255,-3
"233","2012","01","10","17:00:00",47.07,"2012-01-10","2012-01-10 17:00:00",47055.9,-3
"234","2012","01","10","18:00:00",54.96,"2012-01-10","2012-01-10 18:00:00",47708.1,-2
"235","2012","01","10","19:00:00",48.92,"2012-01-10","2012-01-10 19:00:00",47913.2,-1
"236","2012","01","10","20:00:00",39.57,"2012-01-10","2012-01-10 20:00:00",46491.2,0
"237","2012","01","10","21:00:00",35.6,"2012-01-10","2012-01-10 21:00:00",44935.3,1
"238","2012","01","10","22:00:00",34.87,"2012-01-10","2012-01-10 22:00:00",43304.6,1
"239","2012","01","10","23:00:00",33.47,"2012-01-10","2012-01-10 23:00:00",41161.9,1
"240","2012","01","10","00:00:00",32.33,"2012-01-10","2012-01-11 00:00:00",39177.3,1
"241","2012","01","11","01:00:00",31.51,"2012-01-11","2012-01-11 01:00:00",36089,-2
"242","2012","01","11","02:00:00",30.69,"2012-01-11","2012-01-11 02:00:00",34900.2,2
"243","2012","01","11","03:00:00",30.33,"2012-01-11","2012-01-11 03:00:00",34181.1,2
"244","2012","01","11","04:00:00",29.41,"2012-01-11","2012-01-11 04:00:00",33153.9,3
"245","2012","01","11","05:00:00",30.11,"2012-01-11","2012-01-11 05:00:00",33587,3
"246","2012","01","11","06:00:00",32.82,"2012-01-11","2012-01-11 06:00:00",37444.9,3
"247","2012","01","11","07:00:00",34.45,"2012-01-11","2012-01-11 07:00:00",41485.1,4
"248","2012","01","11","08:00:00",38,"2012-01-11","2012-01-11 08:00:00",45311.7,4
"249","2012","01","11","09:00:00",40.47,"2012-01-11","2012-01-11 09:00:00",45927.4,4
"250","2012","01","11","10:00:00",38.14,"2012-01-11","2012-01-11 10:00:00",45868.9,5
"251","2012","01","11","11:00:00",36.65,"2012-01-11","2012-01-11 11:00:00",45553.2,4
"252","2012","01","11","12:00:00",37.29,"2012-01-11","2012-01-11 12:00:00",45637.9,4
"253","2012","01","11","13:00:00",38.03,"2012-01-11","2012-01-11 13:00:00",45375.7,4
"254","2012","01","11","14:00:00",38.65,"2012-01-11","2012-01-11 14:00:00",45283.2,3
"255","2012","01","11","15:00:00",38.57,"2012-01-11","2012-01-11 15:00:00",45516.1,2
"256","2012","01","11","16:00:00",40.21,"2012-01-11","2012-01-11 16:00:00",46132.2,2
"257","2012","01","11","17:00:00",43.12,"2012-01-11","2012-01-11 17:00:00",46807.1,1
"258","2012","01","11","18:00:00",45.36,"2012-01-11","2012-01-11 18:00:00",46970.8,1
"259","2012","01","11","19:00:00",39.4,"2012-01-11","2012-01-11 19:00:00",46658.5,-2
"260","2012","01","11","20:00:00",35.86,"2012-01-11","2012-01-11 20:00:00",45454.6,1
"261","2012","01","11","21:00:00",34.87,"2012-01-11","2012-01-11 21:00:00",43858.2,1
"262","2012","01","11","22:00:00",34.14,"2012-01-11","2012-01-11 22:00:00",42126.4,2
"263","2012","01","11","23:00:00",32.77,"2012-01-11","2012-01-11 23:00:00",39915,2
"264","2012","01","11","00:00:00",31.48,"2012-01-11","2012-01-12 00:00:00",37839.5,2
"265","2012","01","12","01:00:00",31.29,"2012-01-12","2012-01-12 01:00:00",35186.8,2
"266","2012","01","12","02:00:00",30.53,"2012-01-12","2012-01-12 02:00:00",34260.8,2
"267","2012","01","12","03:00:00",29.47,"2012-01-12","2012-01-12 03:00:00",33723,2
"268","2012","01","12","04:00:00",28.85,"2012-01-12","2012-01-12 04:00:00",33294.3,2
"269","2012","01","12","05:00:00",29.08,"2012-01-12","2012-01-12 05:00:00",33458.7,3
"270","2012","01","12","06:00:00",32.58,"2012-01-12","2012-01-12 06:00:00",36568.6,3
"271","2012","01","12","07:00:00",33.88,"2012-01-12","2012-01-12 07:00:00",40518.5,3
"272","2012","01","12","08:00:00",36.78,"2012-01-12","2012-01-12 08:00:00",44695.5,3
"273","2012","01","12","09:00:00",37.48,"2012-01-12","2012-01-12 09:00:00",45479.1,4
"274","2012","01","12","10:00:00",35.64,"2012-01-12","2012-01-12 10:00:00",45304.6,4
"275","2012","01","12","11:00:00",35.38,"2012-01-12","2012-01-12 11:00:00",44902,5
"276","2012","01","12","12:00:00",35.38,"2012-01-12","2012-01-12 12:00:00",44998.9,-2
"277","2012","01","12","13:00:00",35.63,"2012-01-12","2012-01-12 13:00:00",44608,5
"278","2012","01","12","14:00:00",35.53,"2012-01-12","2012-01-12 14:00:00",44485,3
"279","2012","01","12","15:00:00",35.59,"2012-01-12","2012-01-12 15:00:00",44722.4,1
"280","2012","01","12","16:00:00",35.51,"2012-01-12","2012-01-12 16:00:00",45481.9,1
"281","2012","01","12","17:00:00",35.96,"2012-01-12","2012-01-12 17:00:00",46468.6,1
"282","2012","01","12","18:00:00",37.31,"2012-01-12","2012-01-12 18:00:00",46821.2,0
"283","2012","01","12","19:00:00",35.69,"2012-01-12","2012-01-12 19:00:00",46199.6,0
