,TSTOT.PrezzoScandi,TSTOT.ConsumiScandi,TSTOT.GradiScandi,TSTOT.ConsumipercScandi,TSTOT.PrezzopercScandi,TSTOT.BankHolidayScandi,TSTOT.EndYearScandi,TSTOT.DayOfWeekScandi,TSTOT.DayOffScandi,lunedi,martedi,mercoledi,giovedi,venerdi,sabato,domenica
0,37.25,35616.1,1.0,1.0466079575115201,-0.241028387787904,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,37.25,44318.8,6.0,-0.0216565452396174,-0.241028387787904,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,33.38,42578.3,3.0,-0.722576372988361,-0.23909145248056896,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,33.21,43187.9,3.0,-0.59475720602215,0.211225105612554,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,35.27,44747.0,-1.0,-0.49278830117014705,-0.4234895539243329,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,34.89,43626.1,-3.0,0.318250907727936,0.605536332179933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,33.73,42931.4,-4.0,0.261095386225007,-0.32505910165486607,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,34.44,41731.2,-2.0,5.21894138618753,4.4585987261146505,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,56.24,47100.4,-6.0,0.0575697900933194,-5.4472091459314,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,48.45,46973.2,-3.0,0.486460815731026,0.748596381784153,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,37.29,45637.9,4.0,0.18593644354294397,1.7462482946794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,35.38,44998.9,-2.0,0.21580330497528302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,34.48,44770.2,1.0,-1.03474268484891,-1.20343839541548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,33.89,42157.3,-1.0,0.425693091241738,0.444576170717245,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,35.17,42380.2,-1.0,1.01442988373146,0.600686498855838,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,45.37,47108.5,-1.0,0.13093317519326197,1.27232142857143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,51.88,46777.8,1.0,-0.156239994877371,-0.32660902977904804,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,40.99,46872.0,0.0,-0.11315905560137,-0.24336821611097897,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,38.69,46882.3,2.0,-0.396651724064665,1.94993412384715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,45.06,47563.3,-4.0,-0.23617802705349802,1.78450417890219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,34.52,43111.0,-5.0,0.0106712692314797,-0.34642032332562794,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,31.89,39023.4,0.0,1.03904241354044,1.10970196575777,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,50.12,47987.5,-3.0,-0.41938509553928294,-1.0463968410661402,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,50.85,48870.0,-2.0,-0.0593059162764065,-2.38049529660204,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,48.04,48610.4,-4.0,0.11801512158853501,-5.3958251280031595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,43.13,48506.6,-1.0,-0.36827911161137605,-2.9696287964004506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,52.76,49048.1,-2.0,-0.540206227377346,-5.49883575138814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,38.73,45186.7,-2.0,0.246697208017653,0.0516662361146888,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,37.24,43630.4,-1.0,0.5042442670720929,-0.7727151612043679,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,45.32,50229.1,-3.0,-0.515356719146442,-7.32106339468302,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,49.22,48925.6,-3.0,-0.619735246502688,-6.62113450958073,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,61.97,48869.4,-4.0,-1.03803005143574,-28.3583815028902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,117.49,49493.4,-11.0,-0.8932808698525191,13.3307610687759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,85.22,50379.2,-11.0,-1.27532823829121,-1.02206736353077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,51.27,47443.2,-12.0,-0.167708620475611,-7.688152682751159,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,42.82,45638.6,-10.0,0.12175565066877901,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
