Ora,Grado,Giorno,Mese,Anno
00:30:00,1,01,01,2014
01:00:00,0,01,01,2014
01:30:00,0,01,01,2014
02:00:00,-1,01,01,2014
02:30:00,-2,01,01,2014
03:00:00,-2,01,01,2014
03:30:00,-2,01,01,2014
04:00:00,-1,01,01,2014
04:30:00,-2,01,01,2014
05:00:00,-3,01,01,2014
05:30:00,-2,01,01,2014
06:00:00,-2,01,01,2014
07:00:00,-3,01,01,2014
07:30:00,-3,01,01,2014
08:00:00,-2,01,01,2014
08:30:00,-2,01,01,2014
09:00:00,-2,01,01,2014
09:30:00,-1,01,01,2014
10:00:00,-1,01,01,2014
10:30:00,1,01,01,2014
11:00:00,3,01,01,2014
11:30:00,4,01,01,2014
12:00:00,5,01,01,2014
12:30:00,5,01,01,2014
13:00:00,6,01,01,2014
13:30:00,7,01,01,2014
14:00:00,6,01,01,2014
14:30:00,7,01,01,2014
15:00:00,7,01,01,2014
15:30:00,7,01,01,2014
16:00:00,6,01,01,2014
16:30:00,6,01,01,2014
17:00:00,5,01,01,2014
17:30:00,3,01,01,2014
18:00:00,3,01,01,2014
18:30:00,2,01,01,2014
19:00:00,2,01,01,2014
19:30:00,2,01,01,2014
20:00:00,2,01,01,2014
20:30:00,2,01,01,2014
21:00:00,2,01,01,2014
21:30:00,3,01,01,2014
22:00:00,3,01,01,2014
22:30:00,3,01,01,2014
23:00:00,4,01,01,2014
23:30:00,4,01,01,2014
00:00:00,3,01,01,2014
00:30:00,4,02,01,2014
01:00:00,3,02,01,2014
02:00:00,4,02,01,2014
02:30:00,3,02,01,2014
03:00:00,3,02,01,2014
03:30:00,3,02,01,2014
04:00:00,3,02,01,2014
04:30:00,3,02,01,2014
05:00:00,3,02,01,2014
05:30:00,3,02,01,2014
06:00:00,3,02,01,2014
06:30:00,3,02,01,2014
07:00:00,3,02,01,2014
08:30:00,3,02,01,2014
09:00:00,3,02,01,2014
09:30:00,3,02,01,2014
10:00:00,3,02,01,2014
10:30:00,3,02,01,2014
11:00:00,3,02,01,2014
11:30:00,3,02,01,2014
12:00:00,3,02,01,2014
12:30:00,3,02,01,2014
13:00:00,3,02,01,2014
13:30:00,3,02,01,2014
14:00:00,3,02,01,2014
14:30:00,3,02,01,2014
15:00:00,3,02,01,2014
15:30:00,3,02,01,2014
16:00:00,3,02,01,2014
16:30:00,3,02,01,2014
17:30:00,3,02,01,2014
18:00:00,3,02,01,2014
18:30:00,3,02,01,2014
19:00:00,3,02,01,2014
19:30:00,3,02,01,2014
20:00:00,3,02,01,2014
20:30:00,3,02,01,2014
21:00:00,3,02,01,2014
21:30:00,3,02,01,2014
22:00:00,3,02,01,2014
22:30:00,3,02,01,2014
23:00:00,4,02,01,2014
23:30:00,4,02,01,2014
00:00:00,4,02,01,2014
00:30:00,4,03,01,2014
01:00:00,3,03,01,2014
01:30:00,3,03,01,2014
02:00:00,3,03,01,2014
02:30:00,3,03,01,2014
03:00:00,3,03,01,2014
03:30:00,3,03,01,2014
04:00:00,3,03,01,2014
04:30:00,3,03,01,2014
05:00:00,3,03,01,2014
05:30:00,3,03,01,2014
06:00:00,3,03,01,2014
06:30:00,3,03,01,2014
07:00:00,3,03,01,2014
07:30:00,4,03,01,2014
08:00:00,4,03,01,2014
08:30:00,4,03,01,2014
09:00:00,4,03,01,2014
09:30:00,4,03,01,2014
10:00:00,4,03,01,2014
10:30:00,4,03,01,2014
11:00:00,4,03,01,2014
11:30:00,4,03,01,2014
12:00:00,5,03,01,2014
12:30:00,5,03,01,2014
13:00:00,5,03,01,2014
13:30:00,4,03,01,2014
14:00:00,4,03,01,2014
14:30:00,4,03,01,2014
15:00:00,4,03,01,2014
15:30:00,5,03,01,2014
16:00:00,5,03,01,2014
16:30:00,5,03,01,2014
17:00:00,5,03,01,2014
17:30:00,5,03,01,2014
18:00:00,5,03,01,2014
18:30:00,5,03,01,2014
19:00:00,5,03,01,2014
19:30:00,5,03,01,2014
20:00:00,5,03,01,2014
20:30:00,5,03,01,2014
21:00:00,5,03,01,2014
21:30:00,5,03,01,2014
22:00:00,5,03,01,2014
22:30:00,5,03,01,2014
23:00:00,5,03,01,2014
23:30:00,5,03,01,2014
00:00:00,5,03,01,2014
00:30:00,5,04,01,2014
01:00:00,5,04,01,2014
01:30:00,5,04,01,2014
02:00:00,5,04,01,2014
02:30:00,5,04,01,2014
03:00:00,5,04,01,2014
03:30:00,5,04,01,2014
04:00:00,4,04,01,2014
04:30:00,4,04,01,2014
05:00:00,4,04,01,2014
05:30:00,4,04,01,2014
06:00:00,4,04,01,2014
06:30:00,4,04,01,2014
07:00:00,5,04,01,2014
07:30:00,5,04,01,2014
08:00:00,5,04,01,2014
08:30:00,5,04,01,2014
09:00:00,5,04,01,2014
09:30:00,5,04,01,2014
10:00:00,5,04,01,2014
10:30:00,5,04,01,2014
11:00:00,5,04,01,2014
11:30:00,5,04,01,2014
12:00:00,5,04,01,2014
12:30:00,5,04,01,2014
13:00:00,5,04,01,2014
13:30:00,5,04,01,2014
14:00:00,5,04,01,2014
14:30:00,5,04,01,2014
15:00:00,5,04,01,2014
15:30:00,5,04,01,2014
16:00:00,5,04,01,2014
16:30:00,5,04,01,2014
17:00:00,5,04,01,2014
17:30:00,5,04,01,2014
18:00:00,5,04,01,2014
18:30:00,5,04,01,2014
19:00:00,5,04,01,2014
19:30:00,5,04,01,2014
20:00:00,5,04,01,2014
20:30:00,5,04,01,2014
21:00:00,5,04,01,2014
21:30:00,5,04,01,2014
22:00:00,5,04,01,2014
22:30:00,5,04,01,2014
23:00:00,5,04,01,2014
23:30:00,5,04,01,2014
00:00:00,5,04,01,2014
00:30:00,5,05,01,2014
01:00:00,5,05,01,2014
01:30:00,5,05,01,2014
02:00:00,5,05,01,2014
02:30:00,5,05,01,2014
