DateYYYYMMDD,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
20120101,24659.16,23387.59,22090.76,21009.12,20350.99,20442.18,20910.78,21393.44,21909.23,23720.85,25230.94,26333.19,26642.62,25266.24,24575.04,24702.84,25930.33,29472.57,30620.84,31249.72,30952.85,29779.51,27918.54,25555.08
20120102,22714.2,21101.37,20317.66,20083.62,20365.17,21966.95,25981.58,31193.08,34993.02,36817.32,36933.84,36801.7,35307.33,34603.16,35357.21,35962.83,37536.01,40736.02,41095.88,40177.41,37962.54,35296.2,31583.44,28090.25
20120103,25040.74,23274.23,22422.83,22158.03,22335.69,23705.18,27310.44,32828.72,36482.96,38477.48,38364.95,38104.09,36400.39,35396.26,36202.14,36777.1,38447.89,41753.44,41857.45,40720.2,38308.01,35614.13,31887.6,28256.18
20120104,25125.99,23371.53,22518.98,22150.96,22279.19,23632.29,27459.91,33032.88,36620.92,38188.94,38152.94,37895.71,36167.54,35161.73,35879.26,36526.29,38219.23,41505.48,41503.58,40696.49,38431.88,35637,31798.29,28137.6
20120105,25008.02,23313.15,22431.53,22026.55,22117.62,23395.38,27067.54,32607.85,36033.25,37474.46,37409.76,37201.12,35419.74,34386.67,35187.09,35833.14,37534.95,40875.59,40932.98,40239.11,37867.55,35098.63,31288.9,27679.35
20120106,25473.87,23645.73,22437.67,21803.26,21526.76,21911.49,22763.46,24338.01,25453.16,27429.7,28617.2,29299.54,29065.62,27344.83,26917.56,27157.2,28500.86,31899.61,32869.57,34270.54,33456.17,32044.08,29540.5,26807.67
20120107,24213.66,22514.6,21490.3,21052.26,21054.51,21773.54,23909.49,27028.24,29490.26,31515.95,31692.93,31320.46,30370.17,28904.82,28778.85,29072.31,30612,34580.76,35943.22,35860.86,33927.61,31544.03,28942.04,26430.12
20120108,24141.9,22269.99,21131.64,20515.06,20334.99,20620.17,21583.57,22873.81,24403.35,26585.79,27942.15,28571.4,28465.89,26898.37,26528.52,26627.42,27761.32,31391.17,32834.58,33363.59,32713.82,31184.88,28688.08,25880.22
20120109,23725.41,22127.46,21365.91,21156.75,21528.65,23523.69,28766.98,35463.84,40419.46,42056.26,42125.42,41829.78,39485.52,39235.2,40586.98,41260.29,42768.83,45348.63,44814.23,43773.58,41511.25,38658.91,34650.17,31053.61
20120110,28142.33,26376.09,25404.23,25119,25308.9,26758.69,31376.22,37978.55,42469.77,43806.27,43750.04,43353.39,40668.6,40051.87,41310.64,41925.45,43532.74,46225.94,45669.8,44519.9,42180.51,39256.63,35153.37,31404.74
20120111,28614.17,26820.91,25850.06,25603.81,25726.58,27241.67,32228.36,39091.2,43328.82,43630.66,43293.78,42795.17,39840.13,39183,40405.26,41204.87,42808.16,45832.77,45608.44,44639.72,42213.37,39125.17,34897.14,31204.1
20120112,28702.1,26873.26,26030.22,25798.61,26007.04,27106.6,32012.72,39125.75,43564.59,43875.91,42942.5,42455.29,39613.62,38878.26,40182.5,40926.08,42600.86,45517.66,45415.41,44426.08,42256.58,39289.01,35058.66,31409.43
20120113,28428.86,26796.15,25950.11,25805.85,26045.48,27319.91,32105.61,39110.91,43223.67,43693.32,42774.07,42325.59,39642.56,38794.89,38991.59,39542.11,40994.87,44081.05,44170.28,43353.73,41088.27,38267.66,34302.66,30595.33
20120114,28359.21,26716.34,25623.41,25212.07,25324.34,25697.56,28072.36,32462.21,35383.64,36812.36,36035.5,35197.22,33329.12,31574.07,31252.69,31577.39,32960.59,37378.98,38836.34,38962.86,36529.1,33897.24,31121.93,28490.3
20120115,26319.42,24455.29,23255.98,22728.28,22686.78,22885.87,23997.7,25311.45,27048.33,29176.6,29941.68,30424.19,30270.34,28692.39,28244.4,28339.49,29560.27,33368.97,34884.9,35454.04,34761.51,33285.66,30722,27845.86
20120116,25421.32,23760.8,23037.31,22867.69,23391.17,25118.57,30800.73,37810.27,42856.25,44111.27,43258.7,42933.76,40444.12,40149.65,41481.01,42061.93,44095.74,46938.59,46537.12,45349.99,42808.54,39896.76,35616.06,31999.32
20120117,29448.01,27613.23,26607.16,26456.56,26851.59,28226.97,33126.14,40089.87,44873.66,45967.73,45043.95,44401.87,41616.73,40994.77,42342.71,43285.37,45065.64,47948.49,47574.67,46170.65,43898.32,40742.29,36354.83,32610.33
20120118,30412.08,28667.2,27723.09,27446.08,27594.26,29220.38,33874.7,40589.67,44923.6,46250.83,46099.29,45715.23,42796.94,42161.01,43427.29,44101.66,45486.34,47921.58,47772.99,46495.91,44262.72,41010.67,36747.36,32869.74
