"","date"
"1","2012-01-01"
"2","2012-01-02"
"3","2012-01-03"
"4","2012-01-04"
"5","2012-01-05"
"6","2012-01-06"
"7","2012-01-07"
"8","2012-01-08"
"9","2012-01-09"
"10","2012-01-10"
"11","2012-01-11"
"12","2012-01-12"
"13","2012-01-13"
"14","2012-01-14"
"15","2012-01-15"
"16","2012-01-16"
"17","2012-01-17"
"18","2012-01-18"
"19","2012-01-19"
"20","2012-01-20"
"21","2012-01-21"
"22","2012-01-22"
"23","2012-01-23"
"24","2012-01-24"
"25","2012-01-25"
"26","2012-01-26"
"27","2012-01-27"
"28","2012-01-28"
"29","2012-01-29"
"30","2012-01-30"
"31","2012-01-31"
"32","2012-02-01"
"33","2012-02-02"
"34","2012-02-03"
"35","2012-02-04"
"36","2012-02-05"
"37","2012-02-06"
"38","2012-02-07"
"39","2012-02-08"
"40","2012-02-09"
"41","2012-02-10"
"42","2012-02-11"
"43","2012-02-12"
"44","2012-02-13"
"45","2012-02-14"
"46","2012-02-15"
"47","2012-02-16"
"48","2012-02-17"
"49","2012-02-18"
"50","2012-02-19"
"51","2012-02-20"
"52","2012-02-21"
"53","2012-02-22"
"54","2012-02-23"
"55","2012-02-24"
"56","2012-02-25"
"57","2012-02-26"
"58","2012-02-27"
"59","2012-02-28"
"60","2012-03-01"
"61","2012-03-02"
"62","2012-03-03"
"63","2012-03-04"
"64","2012-03-05"
"65","2012-03-06"
"66","2012-03-07"
"67","2012-03-08"
"68","2012-03-09"
"69","2012-03-10"
"70","2012-03-11"
"71","2012-03-12"
"72","2012-03-13"
"73","2012-03-14"
"74","2012-03-15"
"75","2012-03-16"
"76","2012-03-17"
"77","2012-03-18"
"78","2012-03-19"
"79","2012-03-20"
"80","2012-03-21"
"81","2012-03-22"
"82","2012-03-23"
"83","2012-03-24"
"84","2012-03-25"
"85","2012-03-26"
"86","2012-03-27"
"87","2012-03-28"
"88","2012-03-29"
"89","2012-03-30"
"90","2012-03-31"
"91","2012-04-01"
"92","2012-04-02"
"93","2012-04-03"
"94","2012-04-04"
"95","2012-04-05"
"96","2012-04-06"
"97","2012-04-07"
"98","2012-04-08"
"99","2012-04-09"
"100","2012-04-10"
"101","2012-04-11"
"102","2012-04-12"
"103","2012-04-13"
"104","2012-04-14"
"105","2012-04-15"
"106","2012-04-16"
"107","2012-04-17"
"108","2012-04-18"
"109","2012-04-19"
"110","2012-04-20"
"111","2012-04-21"
"112","2012-04-22"
"113","2012-04-23"
"114","2012-04-24"
"115","2012-04-25"
"116","2012-04-26"
"117","2012-04-27"
"118","2012-04-28"
"119","2012-04-29"
"120","2012-04-30"
"121","2012-05-01"
"122","2012-05-02"
"123","2012-05-03"
"124","2012-05-04"
"125","2012-05-05"
"126","2012-05-06"
"127","2012-05-07"
"128","2012-05-08"
"129","2012-05-09"
"130","2012-05-10"
"131","2012-05-11"
"132","2012-05-12"
"133","2012-05-13"
"134","2012-05-14"
"135","2012-05-15"
"136","2012-05-16"
"137","2012-05-17"
"138","2012-05-18"
"139","2012-05-19"
"140","2012-05-20"
"141","2012-05-21"
"142","2012-05-22"
"143","2012-05-23"
"144","2012-05-24"
"145","2012-05-25"
"146","2012-05-26"
"147","2012-05-27"
"148","2012-05-28"
"149","2012-05-29"
"150","2012-05-30"
"151","2012-05-31"
"152","2012-06-01"
"153","2012-06-02"
"154","2012-06-03"
"155","2012-06-04"
"156","2012-06-05"
"157","2012-06-06"
"158","2012-06-07"
"159","2012-06-08"
"160","2012-06-09"
"161","2012-06-10"
"162","2012-06-11"
"163","2012-06-12"
"164","2012-06-13"
"165","2012-06-14"
"166","2012-06-15"
"167","2012-06-16"
"168","2012-06-17"
"169","2012-06-18"
"170","2012-06-19"
"171","2012-06-20"
"172","2012-06-21"
"173","2012-06-22"
"174","2012-06-23"
"175","2012-06-24"
"176","2012-06-25"
"177","2012-06-26"
"178","2012-06-27"
"179","2012-06-28"
"180","2012-06-29"
"181","2012-06-30"
"182","2012-07-01"
"183","2012-07-02"
"184","2012-07-03"
"185","2012-07-04"
"186","2012-07-05"
"187","2012-07-06"
"188","2012-07-07"
"189","2012-07-08"
"190","2012-07-09"
"191","2012-07-10"
"192","2012-07-11"
"193","2012-07-12"
"194","2012-07-13"
"195","2012-07-14"
"196","2012-07-15"
"197","2012-07-16"
"198","2012-07-17"
"199","2012-07-18"
"200","2012-07-19"
"201","2012-07-20"
"202","2012-07-21"
"203","2012-07-22"
"204","2012-07-23"
"205","2012-07-24"
"206","2012-07-25"
"207","2012-07-26"
"208","2012-07-27"
"209","2012-07-28"
"210","2012-07-29"
"211","2012-07-30"
"212","2012-07-31"
"213","2012-08-01"
"214","2012-08-02"
"215","2012-08-03"
"216","2012-08-04"
"217","2012-08-05"
"218","2012-08-06"
"219","2012-08-07"
"220","2012-08-08"
"221","2012-08-09"
"222","2012-08-10"
"223","2012-08-11"
"224","2012-08-12"
"225","2012-08-13"
"226","2012-08-14"
"227","2012-08-15"
"228","2012-08-16"
"229","2012-08-17"
"230","2012-08-18"
"231","2012-08-19"
"232","2012-08-20"
"233","2012-08-21"
"234","2012-08-22"
"235","2012-08-23"
"236","2012-08-24"
"237","2012-08-25"
"238","2012-08-26"
"239","2012-08-27"
"240","2012-08-28"
"241","2012-08-29"
"242","2012-08-30"
"243","2012-08-31"
"244","2012-09-01"
"245","2012-09-02"
"246","2012-09-03"
"247","2012-09-04"
"248","2012-09-05"
"249","2012-09-06"
"250","2012-09-07"
"251","2012-09-08"
"252","2012-09-09"
"253","2012-09-10"
"254","2012-09-11"
"255","2012-09-12"
"256","2012-09-13"
"257","2012-09-14"
"258","2012-09-15"
"259","2012-09-16"
"260","2012-09-17"
"261","2012-09-18"
"262","2012-09-19"
"263","2012-09-20"
"264","2012-09-21"
"265","2012-09-22"
"266","2012-09-23"
"267","2012-09-24"
"268","2012-09-25"
"269","2012-09-26"
"270","2012-09-27"
"271","2012-09-28"
"272","2012-09-29"
"273","2012-09-30"
"274","2012-10-01"
"275","2012-10-02"
"276","2012-10-03"
"277","2012-10-04"
"278","2012-10-05"
"279","2012-10-06"
"280","2012-10-07"
"281","2012-10-08"
"282","2012-10-09"
"283","2012-10-10"
"284","2012-10-11"
"285","2012-10-12"
"286","2012-10-13"
"287","2012-10-14"
"288","2012-10-15"
"289","2012-10-16"
"290","2012-10-17"
"291","2012-10-18"
"292","2012-10-19"
"293","2012-10-20"
"294","2012-10-21"
"295","2012-10-22"
"296","2012-10-23"
"297","2012-10-24"
"298","2012-10-25"
"299","2012-10-26"
"300","2012-10-27"
"301","2012-10-28"
"302","2012-10-29"
"303","2012-10-30"
"304","2012-10-31"
"305","2012-11-01"
"306","2012-11-02"
"307","2012-11-03"
"308","2012-11-04"
"309","2012-11-05"
"310","2012-11-06"
"311","2012-11-07"
"312","2012-11-08"
"313","2012-11-09"
"314","2012-11-10"
"315","2012-11-11"
"316","2012-11-12"
"317","2012-11-13"
"318","2012-11-14"
"319","2012-11-15"
"320","2012-11-16"
"321","2012-11-17"
"322","2012-11-18"
"323","2012-11-19"
"324","2012-11-20"
"325","2012-11-21"
"326","2012-11-22"
"327","2012-11-23"
"328","2012-11-24"
"329","2012-11-25"
"330","2012-11-26"
"331","2012-11-27"
"332","2012-11-28"
"333","2012-11-29"
"334","2012-11-30"
"335","2012-12-01"
"336","2012-12-02"
"337","2012-12-03"
"338","2012-12-04"
"339","2012-12-05"
"340","2012-12-06"
"341","2012-12-07"
"342","2012-12-08"
"343","2012-12-09"
"344","2012-12-10"
"345","2012-12-11"
"346","2012-12-12"
"347","2012-12-13"
"348","2012-12-14"
"349","2012-12-15"
"350","2012-12-16"
"351","2012-12-17"
"352","2012-12-18"
"353","2012-12-19"
"354","2012-12-20"
"355","2012-12-21"
"356","2012-12-22"
"357","2012-12-23"
"358","2012-12-24"
"359","2012-12-25"
"360","2012-12-26"
"361","2012-12-27"
"362","2012-12-28"
"363","2012-12-29"
"364","2012-12-30"
"365","2012-12-31"
"366","2013-01-01"
"367","2013-01-02"
"368","2013-01-03"
"369","2013-01-04"
"370","2013-01-05"
"371","2013-01-06"
"372","2013-01-07"
"373","2013-01-08"
"374","2013-01-09"
"375","2013-01-10"
"376","2013-01-11"
"377","2013-01-12"
"378","2013-01-13"
"379","2013-01-14"
"380","2013-01-15"
"381","2013-01-16"
"382","2013-01-17"
"383","2013-01-18"
"384","2013-01-19"
"385","2013-01-20"
"386","2013-01-21"
"387","2013-01-22"
"388","2013-01-23"
"389","2013-01-24"
"390","2013-01-25"
"391","2013-01-26"
"392","2013-01-27"
"393","2013-01-28"
"394","2013-01-29"
"395","2013-01-30"
"396","2013-01-31"
"397","2013-02-01"
"398","2013-02-02"
"399","2013-02-03"
"400","2013-02-04"
"401","2013-02-05"
"402","2013-02-06"
"403","2013-02-07"
"404","2013-02-08"
"405","2013-02-09"
"406","2013-02-10"
"407","2013-02-11"
"408","2013-02-12"
"409","2013-02-13"
"410","2013-02-14"
"411","2013-02-15"
"412","2013-02-16"
"413","2013-02-17"
"414","2013-02-18"
"415","2013-02-19"
"416","2013-02-20"
"417","2013-02-21"
"418","2013-02-22"
"419","2013-02-23"
"420","2013-02-24"
"421","2013-02-25"
"422","2013-02-26"
"423","2013-02-27"
"424","2013-02-28"
"425","2013-03-01"
"426","2013-03-02"
"427","2013-03-03"
"428","2013-03-04"
"429","2013-03-05"
"430","2013-03-06"
"431","2013-03-07"
"432","2013-03-08"
"433","2013-03-09"
"434","2013-03-10"
"435","2013-03-11"
"436","2013-03-12"
"437","2013-03-13"
"438","2013-03-14"
"439","2013-03-15"
"440","2013-03-16"
"441","2013-03-17"
"442","2013-03-18"
"443","2013-03-19"
"444","2013-03-20"
"445","2013-03-21"
"446","2013-03-22"
"447","2013-03-23"
"448","2013-03-24"
"449","2013-03-25"
"450","2013-03-26"
"451","2013-03-27"
"452","2013-03-28"
"453","2013-03-29"
"454","2013-03-30"
"455","2013-03-31"
"456","2013-04-01"
"457","2013-04-02"
"458","2013-04-03"
"459","2013-04-04"
"460","2013-04-05"
"461","2013-04-06"
"462","2013-04-07"
"463","2013-04-08"
"464","2013-04-09"
"465","2013-04-10"
"466","2013-04-11"
"467","2013-04-12"
"468","2013-04-13"
"469","2013-04-14"
"470","2013-04-15"
"471","2013-04-16"
"472","2013-04-17"
"473","2013-04-18"
"474","2013-04-19"
"475","2013-04-20"
"476","2013-04-21"
"477","2013-04-22"
"478","2013-04-23"
"479","2013-04-24"
"480","2013-04-25"
"481","2013-04-26"
"482","2013-04-27"
"483","2013-04-28"
"484","2013-04-29"
"485","2013-04-30"
"486","2013-05-01"
"487","2013-05-02"
"488","2013-05-03"
"489","2013-05-04"
"490","2013-05-05"
"491","2013-05-06"
"492","2013-05-07"
"493","2013-05-08"
"494","2013-05-09"
"495","2013-05-10"
"496","2013-05-11"
"497","2013-05-12"
"498","2013-05-13"
"499","2013-05-14"
"500","2013-05-15"
"501","2013-05-16"
"502","2013-05-17"
"503","2013-05-18"
"504","2013-05-19"
"505","2013-05-20"
"506","2013-05-21"
"507","2013-05-22"
"508","2013-05-23"
"509","2013-05-24"
"510","2013-05-25"
"511","2013-05-26"
"512","2013-05-27"
"513","2013-05-28"
"514","2013-05-29"
"515","2013-05-30"
"516","2013-05-31"
"517","2013-06-01"
"518","2013-06-02"
"519","2013-06-03"
"520","2013-06-04"
"521","2013-06-05"
"522","2013-06-06"
"523","2013-06-07"
"524","2013-06-08"
"525","2013-06-09"
"526","2013-06-10"
"527","2013-06-11"
"528","2013-06-12"
"529","2013-06-13"
"530","2013-06-14"
"531","2013-06-15"
"532","2013-06-16"
"533","2013-06-17"
"534","2013-06-18"
"535","2013-06-19"
"536","2013-06-20"
"537","2013-06-21"
"538","2013-06-22"
"539","2013-06-23"
"540","2013-06-24"
"541","2013-06-25"
"542","2013-06-26"
"543","2013-06-27"
"544","2013-06-28"
"545","2013-06-29"
"546","2013-06-30"
"547","2013-07-01"
"548","2013-07-02"
"549","2013-07-03"
"550","2013-07-04"
"551","2013-07-05"
"552","2013-07-06"
"553","2013-07-07"
"554","2013-07-08"
"555","2013-07-09"
"556","2013-07-10"
"557","2013-07-11"
"558","2013-07-12"
"559","2013-07-13"
"560","2013-07-14"
"561","2013-07-15"
"562","2013-07-16"
"563","2013-07-17"
"564","2013-07-18"
"565","2013-07-19"
"566","2013-07-20"
"567","2013-07-21"
"568","2013-07-22"
"569","2013-07-23"
"570","2013-07-24"
"571","2013-07-25"
"572","2013-07-26"
"573","2013-07-27"
"574","2013-07-28"
"575","2013-07-29"
"576","2013-07-30"
"577","2013-07-31"
"578","2013-08-01"
"579","2013-08-02"
"580","2013-08-03"
"581","2013-08-04"
"582","2013-08-05"
"583","2013-08-06"
"584","2013-08-07"
"585","2013-08-08"
"586","2013-08-09"
"587","2013-08-10"
"588","2013-08-11"
"589","2013-08-12"
"590","2013-08-13"
"591","2013-08-14"
"592","2013-08-15"
"593","2013-08-16"
"594","2013-08-17"
"595","2013-08-18"
"596","2013-08-19"
"597","2013-08-20"
"598","2013-08-21"
"599","2013-08-22"
"600","2013-08-23"
"601","2013-08-24"
"602","2013-08-25"
"603","2013-08-26"
"604","2013-08-27"
"605","2013-08-28"
"606","2013-08-29"
"607","2013-08-30"
"608","2013-08-31"
"609","2013-09-01"
"610","2013-09-02"
"611","2013-09-03"
"612","2013-09-04"
"613","2013-09-05"
"614","2013-09-06"
"615","2013-09-07"
"616","2013-09-08"
"617","2013-09-09"
"618","2013-09-10"
"619","2013-09-11"
"620","2013-09-12"
"621","2013-09-13"
"622","2013-09-14"
"623","2013-09-15"
"624","2013-09-16"
"625","2013-09-17"
"626","2013-09-18"
"627","2013-09-19"
"628","2013-09-20"
"629","2013-09-21"
"630","2013-09-22"
"631","2013-09-23"
"632","2013-09-24"
"633","2013-09-25"
"634","2013-09-26"
"635","2013-09-27"
"636","2013-09-28"
"637","2013-09-29"
"638","2013-09-30"
"639","2013-10-01"
"640","2013-10-02"
"641","2013-10-03"
"642","2013-10-04"
"643","2013-10-05"
"644","2013-10-06"
"645","2013-10-07"
"646","2013-10-08"
"647","2013-10-09"
"648","2013-10-10"
"649","2013-10-11"
"650","2013-10-12"
"651","2013-10-13"
"652","2013-10-14"
"653","2013-10-15"
"654","2013-10-16"
"655","2013-10-17"
"656","2013-10-18"
"657","2013-10-19"
"658","2013-10-20"
"659","2013-10-21"
"660","2013-10-22"
"661","2013-10-23"
"662","2013-10-24"
"663","2013-10-25"
"664","2013-10-26"
"665","2013-10-27"
"666","2013-10-28"
"667","2013-10-29"
"668","2013-10-30"
"669","2013-10-31"
"670","2013-11-01"
"671","2013-11-02"
"672","2013-11-03"
"673","2013-11-04"
"674","2013-11-05"
"675","2013-11-06"
"676","2013-11-07"
"677","2013-11-08"
"678","2013-11-09"
"679","2013-11-10"
"680","2013-11-11"
"681","2013-11-12"
"682","2013-11-13"
"683","2013-11-14"
"684","2013-11-15"
"685","2013-11-16"
"686","2013-11-17"
"687","2013-11-18"
"688","2013-11-19"
"689","2013-11-20"
"690","2013-11-21"
"691","2013-11-22"
"692","2013-11-23"
"693","2013-11-24"
"694","2013-11-25"
"695","2013-11-26"
"696","2013-11-27"
"697","2013-11-28"
"698","2013-11-29"
"699","2013-11-30"
"700","2013-12-01"
"701","2013-12-02"
"702","2013-12-03"
"703","2013-12-04"
"704","2013-12-05"
"705","2013-12-06"
"706","2013-12-07"
"707","2013-12-08"
"708","2013-12-09"
"709","2013-12-10"
"710","2013-12-11"
"711","2013-12-12"
"712","2013-12-13"
"713","2013-12-14"
"714","2013-12-15"
"715","2013-12-16"
"716","2013-12-17"
"717","2013-12-18"
"718","2013-12-19"
"719","2013-12-20"
"720","2013-12-21"
"721","2013-12-22"
"722","2013-12-23"
"723","2013-12-24"
"724","2013-12-25"
"725","2013-12-26"
"726","2013-12-27"
"727","2013-12-28"
"728","2013-12-29"
"729","2013-12-30"
"730","2013-12-31"
"731","2014-01-01"
"732","2014-01-02"
"733","2014-01-03"
"734","2014-01-04"
"735","2014-01-05"
"736","2014-01-06"
"737","2014-01-07"
"738","2014-01-08"
"739","2014-01-09"
"740","2014-01-10"
"741","2014-01-11"
"742","2014-01-12"
"743","2014-01-13"
"744","2014-01-14"
"745","2014-01-15"
"746","2014-01-16"
"747","2014-01-17"
"748","2014-01-18"
"749","2014-01-19"
"750","2014-01-20"
"751","2014-01-21"
"752","2014-01-22"
"753","2014-01-23"
"754","2014-01-24"
"755","2014-01-25"
"756","2014-01-26"
"757","2014-01-27"
"758","2014-01-28"
"759","2014-01-29"
"760","2014-01-30"
"761","2014-01-31"
"762","2014-02-01"
"763","2014-02-02"
"764","2014-02-03"
"765","2014-02-04"
"766","2014-02-05"
"767","2014-02-06"
"768","2014-02-07"
"769","2014-02-08"
"770","2014-02-09"
"771","2014-02-10"
"772","2014-02-11"
"773","2014-02-12"
"774","2014-02-13"
"775","2014-02-14"
"776","2014-02-15"
"777","2014-02-16"
"778","2014-02-17"
"779","2014-02-18"
"780","2014-02-19"
"781","2014-02-20"
"782","2014-02-21"
"783","2014-02-22"
"784","2014-02-23"
"785","2014-02-24"
"786","2014-02-25"
"787","2014-02-26"
"788","2014-02-27"
"789","2014-02-28"
"790","2014-03-01"
"791","2014-03-02"
"792","2014-03-03"
"793","2014-03-04"
"794","2014-03-05"
"795","2014-03-06"
"796","2014-03-07"
"797","2014-03-08"
"798","2014-03-09"
"799","2014-03-10"
"800","2014-03-11"
"801","2014-03-12"
"802","2014-03-13"
"803","2014-03-14"
"804","2014-03-15"
"805","2014-03-16"
"806","2014-03-17"
"807","2014-03-18"
"808","2014-03-19"
"809","2014-03-20"
"810","2014-03-21"
"811","2014-03-22"
"812","2014-03-23"
"813","2014-03-24"
"814","2014-03-25"
"815","2014-03-26"
"816","2014-03-27"
"817","2014-03-28"
"818","2014-03-29"
"819","2014-03-30"
"820","2014-03-31"
"821","2014-04-01"
"822","2014-04-02"
"823","2014-04-03"
"824","2014-04-04"
"825","2014-04-05"
"826","2014-04-06"
"827","2014-04-07"
"828","2014-04-08"
"829","2014-04-09"
"830","2014-04-10"
"831","2014-04-11"
"832","2014-04-12"
"833","2014-04-13"
"834","2014-04-14"
"835","2014-04-15"
"836","2014-04-16"
"837","2014-04-17"
"838","2014-04-18"
"839","2014-04-19"
"840","2014-04-20"
"841","2014-04-21"
"842","2014-04-22"
"843","2014-04-23"
"844","2014-04-24"
"845","2014-04-25"
"846","2014-04-26"
"847","2014-04-27"
"848","2014-04-28"
"849","2014-04-29"
"850","2014-04-30"
"851","2014-05-01"
"852","2014-05-02"
"853","2014-05-03"
"854","2014-05-04"
"855","2014-05-05"
"856","2014-05-06"
"857","2014-05-07"
"858","2014-05-08"
"859","2014-05-09"
"860","2014-05-10"
"861","2014-05-11"
"862","2014-05-12"
"863","2014-05-13"
"864","2014-05-14"
"865","2014-05-15"
"866","2014-05-16"
"867","2014-05-17"
"868","2014-05-18"
"869","2014-05-19"
"870","2014-05-20"
"871","2014-05-21"
"872","2014-05-22"
"873","2014-05-23"
"874","2014-05-24"
"875","2014-05-25"
"876","2014-05-26"
"877","2014-05-27"
"878","2014-05-28"
"879","2014-05-29"
"880","2014-05-30"
"881","2014-05-31"
"882","2014-06-01"
"883","2014-06-02"
"884","2014-06-03"
"885","2014-06-04"
"886","2014-06-05"
"887","2014-06-06"
"888","2014-06-07"
"889","2014-06-08"
"890","2014-06-09"
"891","2014-06-10"
"892","2014-06-11"
"893","2014-06-12"
"894","2014-06-13"
"895","2014-06-14"
"896","2014-06-15"
"897","2014-06-16"
"898","2014-06-17"
"899","2014-06-18"
"900","2014-06-19"
"901","2014-06-20"
"902","2014-06-21"
"903","2014-06-22"
"904","2014-06-23"
"905","2014-06-24"
"906","2014-06-25"
"907","2014-06-26"
"908","2014-06-27"
"909","2014-06-28"
"910","2014-06-29"
"911","2014-06-30"
"912","2014-07-01"
"913","2014-07-02"
"914","2014-07-03"
"915","2014-07-04"
"916","2014-07-05"
"917","2014-07-06"
"918","2014-07-07"
"919","2014-07-08"
"920","2014-07-09"
"921","2014-07-10"
"922","2014-07-11"
"923","2014-07-12"
"924","2014-07-13"
"925","2014-07-14"
"926","2014-07-15"
"927","2014-07-16"
"928","2014-07-17"
"929","2014-07-18"
"930","2014-07-19"
"931","2014-07-20"
"932","2014-07-21"
"933","2014-07-22"
"934","2014-07-23"
"935","2014-07-24"
"936","2014-07-25"
"937","2014-07-26"
"938","2014-07-27"
"939","2014-07-28"
"940","2014-07-29"
"941","2014-07-30"
"942","2014-07-31"
"943","2014-08-01"
"944","2014-08-02"
"945","2014-08-03"
"946","2014-08-04"
"947","2014-08-05"
"948","2014-08-06"
"949","2014-08-07"
"950","2014-08-08"
"951","2014-08-09"
"952","2014-08-10"
"953","2014-08-11"
"954","2014-08-12"
"955","2014-08-13"
"956","2014-08-14"
"957","2014-08-15"
"958","2014-08-16"
"959","2014-08-17"
"960","2014-08-18"
"961","2014-08-19"
"962","2014-08-20"
"963","2014-08-21"
"964","2014-08-22"
"965","2014-08-23"
"966","2014-08-24"
"967","2014-08-25"
"968","2014-08-26"
"969","2014-08-27"
"970","2014-08-28"
"971","2014-08-29"
"972","2014-08-30"
"973","2014-08-31"
"974","2014-09-01"
"975","2014-09-02"
"976","2014-09-03"
"977","2014-09-04"
"978","2014-09-05"
"979","2014-09-06"
"980","2014-09-07"
"981","2014-09-08"
"982","2014-09-09"
"983","2014-09-10"
"984","2014-09-11"
"985","2014-09-12"
"986","2014-09-13"
"987","2014-09-14"
"988","2014-09-15"
"989","2014-09-16"
"990","2014-09-17"
"991","2014-09-18"
"992","2014-09-19"
"993","2014-09-20"
"994","2014-09-21"
"995","2014-09-22"
"996","2014-09-23"
"997","2014-09-24"
"998","2014-09-25"
"999","2014-09-26"
"1000","2014-09-27"
"1001","2014-09-28"
"1002","2014-09-29"
"1003","2014-09-30"
"1004","2014-10-01"
"1005","2014-10-02"
"1006","2014-10-03"
"1007","2014-10-04"
"1008","2014-10-05"
"1009","2014-10-06"
"1010","2014-10-07"
"1011","2014-10-08"
"1012","2014-10-09"
"1013","2014-10-10"
"1014","2014-10-11"
